year,study,district,site,N0-P0-K0,N120-P0-K40,latitude,longitude,zero_yield_t_ha,omission_yield_t_ha,n_k_yield_response_t_ha,n_k_yield_response_pct_zero
2018,"2018 N source, timing and FYM trial",Surkhet,Kunathari,6.386,8.192333333333334,28.712956076666664,81.51045155,6.386,8.192333333333334,1.8063333333333338,28.285833594320916
2018,"2018 N source, timing and FYM trial",Surkhet,Lekhpharsa,6.067333333333333,8.298,28.464971528333333,81.79503125,6.067333333333333,8.298,2.230666666666667,36.76519063839139
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-1,7.2225,7.914,28.4430789375,81.796469225,7.2225,7.914,0.6914999999999996,9.574247144340594
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-2,5.8614999999999995,8.425,28.4239182175,81.7968914625,5.8614999999999995,8.425,2.5635000000000012,43.734538940544255
2018,"2018 N source, timing and FYM trial",Surkhet,Ramghat,6.749333333333333,7.574666666666666,28.48847688,81.74245036666667,6.749333333333333,7.574666666666666,0.825333333333333,12.22836823389964
2019,2019 T1-T10 core trial,Dang,Dhikpur,5.545,7.6635,28.040314206155017,82.37345095491037,5.545,7.6635,2.1185,38.20559062218214
2019,2019 T1-T10 core trial,Dang,Laxmipur,5.8759999999999994,12.036999999999999,27.978446854976937,82.46626460691914,5.8759999999999994,12.036999999999999,6.161,104.8502382573179
2019,2019 T1-T10 core trial,Dang,Panchakule,6.28,8.974499999999999,28.13411824288778,82.11970363045111,6.28,8.974499999999999,2.694499999999999,42.90605095541399
2019,2019 T1-T10 core trial,Dang,Shantinagar,5.739,8.6585,28.165763437282294,82.22753767389804,5.739,8.6585,2.9195,50.87123192193763
2019,2019 T1-T10 core trial,Dang,Shreegau,4.588,8.36,28.109736460028216,82.18615139834583,4.588,8.36,3.7719999999999994,82.21447253705317
2019,2019 T1-T10 core trial,Doti,Chhatiwan,6.86934,9.931275,29.08072859281674,80.5906045390293,6.86934,9.931275,3.061934999999999,44.57393286691296
2019,2019 T1-T10 core trial,Doti,Dipayal,7.31943,8.980846666666666,29.254692510003224,80.93247552635148,7.31943,8.980846666666666,1.6614166666666668,22.698716521186306
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,7.226999999999999,8.5764,29.124346466269344,80.58116250950843,7.226999999999999,8.5764,1.3494000000000002,18.671647986716486
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,2.926757,6.529806000000001,27.556970261503015,85.6675685942173,2.926757,6.529806000000001,3.603049000000001,123.10721388895631
2019,2019 T1-T10 core trial,Kavre,Rabiopi,3.3426345,6.6314915,27.650294140912592,85.57621594984084,3.3426345,6.6314915,3.288857,98.39116421493287
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,2.7423200000000003,6.05596,,,2.7423200000000003,6.05596,3.3136399999999995,120.83345488491491
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,6.008915,9.900775,27.88490277249366,85.15011859126389,6.008915,9.900775,3.8918599999999994,64.76809873329876
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,1.620814,6.911395000000001,27.884374440182,85.15042654238641,1.620814,6.911395000000001,5.290581,326.41506058067125
2019,2019 T1-T10 core trial,Palpa,Chidi pani,8.049409091000001,9.5013352285,27.866815757006407,83.54840851854533,8.049409091000001,9.5013352285,1.4519261374999992,18.037673586790234
2019,2019 T1-T10 core trial,Palpa,Devinagar,5.6600776515,8.6774261365,27.809348203008994,83.69689112529159,5.6600776515,8.6774261365,3.0173484849999994,53.309312535674486
2019,2019 T1-T10 core trial,Palpa,Khasyauli,5.869181818,6.936787879000001,27.88467059377581,83.47857314161956,5.869181818,6.936787879000001,1.0676060610000002,18.190032173237405
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,6.973,9.273,28.217941119801253,82.38479600753635,6.973,9.273,2.3,32.98436827764233
2019,2019 T1-T10 core trial,Surkhet,Kalyan,6.977,9.067499999999999,28.501468183239922,81.74196082167327,6.977,9.067499999999999,2.0904999999999987,29.96273469972766
2019,2019 T1-T10 core trial,Surkhet,Kunathari,6.712999999999999,9.8205,28.71424560318701,81.50840541813523,6.712999999999999,9.8205,3.1075,46.290779085356775
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,5.964499999999999,9.9405,28.465106072835624,81.79053612984717,5.964499999999999,9.9405,3.976000000000001,66.6610780451002
2019,2019 T1-T10 core trial,Surkhet,Maintada-2,4.5675,7.3165,28.44779852195643,81.79641278693452,4.5675,7.3165,2.7489999999999997,60.18609742747673
2019,2019 T1-T10 core trial,Surkhet,Ramghat,5.5158000000000005,9.0472,28.489950658287853,81.74421401135623,5.5158000000000005,9.0472,3.5313999999999997,64.023351100475
