year,district,site,nutrient,yield_t_ha,latitude,longitude,n
2019,Dang,Shantinagar,K,8.295,28.165783658623695,82.22753591369838,2
2019,Dang,Shantinagar,N,7.3795,28.165772552601993,82.22756403498352,2
2019,Dang,Shantinagar,P,8.6585,28.165790364146233,82.22749731503427,2
2019,Dang,Shreegau,K,9.7335,28.109598944429308,82.18603329733014,2
2019,Dang,Shreegau,N,6.268000000000001,28.109621324110776,82.18605525791645,2
2019,Dang,Shreegau,P,8.36,28.109746696427464,82.18612952157855,2
2019,Doti,Chhatiwan,K,8.84082,29.08085274975746,80.59047830756754,2
2019,Doti,Chhatiwan,N,8.194165,29.080747137777507,80.59060696978122,2
2019,Doti,Chhatiwan,P,9.931275,29.0807247790508,80.59058509301394,2
2019,Doti,Dipayal,K,9.536673333333333,29.254723428748548,80.93256496824324,3
2019,Doti,Dipayal,N,8.738366666666666,29.254697961732745,80.93250948004425,3
2019,Doti,Dipayal,P,8.980846666666666,29.254679842852056,80.93244566582143,3
2019,Doti,Ghanteshwor,K,11.33,29.124719590879977,80.5813794080168,5
2019,Doti,Ghanteshwor,N,8.432599999999999,29.124335557222366,80.58117730356753,5
2019,Doti,Ghanteshwor,P,8.5764,29.12442215066403,80.58119198866189,5
2019,Kavre,Bhakundebesi,K,6.233759,27.557067177258432,85.6676068995148,2
2019,Kavre,Bhakundebesi,N,4.507761500000001,27.556984783150256,85.66748678684235,2
2019,Kavre,Bhakundebesi,P,6.529806000000001,27.5570691889152,85.66758468747139,2
2019,Kavre,Rabiopi,K,6.5742245,27.6502989185974,85.57615798898041,4
2019,Kavre,Rabiopi,N,3.7852705,27.650303319096565,85.57623107917607,4
2019,Kavre,Rabiopi,P,6.6314915,27.650258601643145,85.57617927901447,4
2019,Makwanpur,Radha Tiwari,K,6.31306,,,1
2019,Makwanpur,Radha Tiwari,N,4.57054,,,1
2019,Makwanpur,Radha Tiwari,P,6.05596,,,1
2019,Nuwakot,Dip Acharya,K,7.509767,27.88483466953039,85.14994843862951,1
2019,Nuwakot,Dip Acharya,N,8.418527,27.88494376000017,85.15008791349828,1
2019,Nuwakot,Dip Acharya,P,9.900775,,,1
2019,Nuwakot,Ramchandra Acharya,K,8.165233,27.884380035102367,85.15034993179142,1
2019,Nuwakot,Ramchandra Acharya,N,1.773721,27.884327019564807,85.15047105029225,1
2019,Nuwakot,Ramchandra Acharya,P,6.911395000000001,27.88438292685896,85.15036032535136,1
2019,Palpa,Chidi pani,K,9.2233371215,27.866875184699893,83.5483809420839,2
2019,Palpa,Chidi pani,N,4.5995,27.86683400860056,83.54838584549725,2
2019,Palpa,Chidi pani,P,9.5013352285,27.866838702466342,83.54845822323114,2
2019,Palpa,Devinagar,K,7.923666666499999,27.808238219004124,83.69631214533001,2
2019,Palpa,Devinagar,N,7.692537879,27.809406383894384,83.69690767955035,2
2019,Palpa,Devinagar,P,8.6774261365,27.809418076649308,83.69688953272998,2
2019,Palpa,Khasyauli,K,3.5767613320000002,27.88487980607897,83.47851279191673,2
2019,Palpa,Khasyauli,N,5.0151515075,27.884704833850265,83.47849292680621,2
2019,Palpa,Khasyauli,P,6.936787879000001,27.88476426154375,83.47864790819585,2
2019,Salyan,Jhuplal gharti,K,9.579,28.217901745811105,82.38466445356607,1
2019,Salyan,Jhuplal gharti,N,9.213,28.217884353362024,82.38481851294637,1
2019,Salyan,Jhuplal gharti,P,9.273,28.21800563950092,82.38493535667658,1
2019,Salyan,Sharadha sharma,K,11.624,28.22900190018117,82.3529542889446,1
2019,Salyan,Sharadha sharma,N,13.129,28.22917909361422,82.35295621678233,1
2019,Salyan,Sharadha sharma,P,12.759,28.229041462764144,82.35286384820938,1
2019,Surkhet,Babiyachaur,K,13.152135,28.805154813453555,81.39994719531387,2
2019,Surkhet,Babiyachaur,N,9.988320000000002,28.80520009668544,81.39990750700235,2
2019,Surkhet,Babiyachaur,P,13.11209,28.80516952369362,81.39991752337664,2
2019,Surkhet,Kalyan,K,8.6745,28.501500946003944,81.74195281695575,2
2019,Surkhet,Kalyan,N,7.865,28.501445918809623,81.74198487773538,2
2019,Surkhet,Kalyan,P,9.067499999999999,28.50148703204468,81.7419516434893,2
2019,Surkhet,Kunathari,K,7.792,28.714250391349196,81.50839255191386,2
2019,Surkhet,Kunathari,N,7.3705,28.714228325989097,81.50840235874057,2
2019,Surkhet,Kunathari,P,9.8205,28.71422273106873,81.5084069268778,2
2019,Surkhet,Lekhpharsa,K,8.6735,28.465049306396395,81.79046781733632,2
2019,Surkhet,Lekhpharsa,N,7.2765,28.46507564652711,81.79055352229625,2
2019,Surkhet,Lekhpharsa,P,9.9405,28.465096245054156,81.7904939269647,2
2019,Surkhet,Maintada-2,K,6.32,28.447805761825293,81.7964141909033,2
2019,Surkhet,Maintada-2,N,5.1370000000000005,28.447778646368533,81.79641322698444,2
2019,Surkhet,Maintada-2,P,7.3165,28.447808444034308,81.7964073177427,2
2019,Surkhet,Ramghat,K,10.9032,28.489978440105915,81.7442086469382,5
2019,Surkhet,Ramghat,N,8.2078,28.48994787968695,81.74422417022288,5
2019,Surkhet,Ramghat,P,9.0472,28.48995533119887,81.74419364333153,5
