study,year,variety,site,n_tested_N_rates,minimum_tested_N_kg_ha,maximum_tested_N_kg_ha,maximum_observed_yield_kg_ha,relative_yield_threshold_pct,yield_threshold_kg_ha,selected_N_rate_kg_ha,yield_at_selected_N_rate_kg_ha,relative_yield_to_observed_maximum_pct,N_rate_adjustment_vs_government_reference_kg_ha,potential_mineral_N_reduction_vs_N120_kg_ha,additional_N_requirement_vs_N120_kg_ha,N_rate_adjustment_direction
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Guthu,2,0.0,120.0,7738.0,95.0,7351.099999999999,120.0,7738.0,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Kalyan,2,0.0,120.0,8696.333333333334,95.0,8261.516666666666,120.0,8696.333333333334,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Kunathari,2,0.0,120.0,8451.666666666666,95.0,8029.083333333332,120.0,8451.666666666666,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Lekhpharsa,2,0.0,120.0,8310.0,95.0,7894.5,0.0,8210.333333333334,98.80064179703169,-120.0,120.0,0.0,lower rate
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Maintada-1,2,0.0,120.0,8724.0,95.0,8287.8,120.0,8724.0,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Maintada-2,2,0.0,120.0,8578.333333333334,95.0,8149.416666666667,120.0,8578.333333333334,100.0,0.0,0.0,0.0,maintain N120
"2018 N source, timing and FYM trial",2018,All maize,Surkhet | Ramghat,2,0.0,120.0,8672.0,95.0,8238.4,120.0,8672.0,100.0,0.0,0.0,0.0,maintain N120
2019 T1-T10 core trial,2019,All maize,Dang | Dhikpur,5,0.0,210.0,8577.5,95.0,8148.625,60.0,8419.0,98.15214223258525,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Dang | Laxmipur,5,0.0,210.0,11756.5,95.0,11168.675,120.0,11756.5,100.0,0.0,0.0,0.0,maintain N120
2019 T1-T10 core trial,2019,All maize,Dang | Panchakule,5,0.0,210.0,9692.5,95.0,9207.875,60.0,9510.0,98.11710085117359,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Dang | Shantinagar,5,0.0,210.0,8697.0,95.0,8262.15,60.0,8697.0,100.0,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Dang | Shreegau,5,0.0,210.0,9097.0,95.0,8642.15,180.0,9097.0,100.0,60.0,0.0,60.0,higher rate
2019 T1-T10 core trial,2019,All maize,Doti | Chhatiwan,5,0.0,210.0,10104.665,95.0,9599.43175,120.0,10104.665,100.0,0.0,0.0,0.0,maintain N120
2019 T1-T10 core trial,2019,All maize,Doti | Dipayal,5,0.0,210.0,9994.016666666668,95.0,9494.315833333334,60.0,9994.016666666668,100.0,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Doti | Ghanteshwor,5,0.0,210.0,10251.4,95.0,9738.83,60.0,9887.6,96.4512164192208,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Kavre | Bhakundebesi,5,0.0,210.0,9536.0765,95.0,9059.272674999998,180.0,9536.0765,100.0,60.0,0.0,60.0,higher rate
2019 T1-T10 core trial,2019,All maize,Kavre | Rabiopi,5,0.0,210.0,8474.9015,95.0,8051.156424999999,180.0,8474.9015,100.0,60.0,0.0,60.0,higher rate
2019 T1-T10 core trial,2019,All maize,Makwanpur | ,5,0.0,210.0,7398.56,95.0,7028.632,180.0,7398.56,100.0,60.0,0.0,60.0,higher rate
2019 T1-T10 core trial,2019,All maize,Nuwakot | ,5,0.0,210.0,7502.2095,95.0,7127.0990249999995,60.0,7422.093,98.93209460492938,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Palpa | Chidi pani,5,0.0,210.0,9069.6969695,95.0,8616.212121025,60.0,9069.6969695,100.0,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Palpa | Devinagar,5,0.0,210.0,9268.5132575,95.0,8805.087594625,180.0,9210.090909,99.36966860944257,60.0,0.0,60.0,higher rate
2019 T1-T10 core trial,2019,All maize,Palpa | Khasyauli,5,0.0,210.0,7614.0,95.0,7233.299999999999,120.0,7301.515152,95.89591741528763,0.0,0.0,0.0,maintain N120
2019 T1-T10 core trial,2019,All maize,Salyan | ,5,0.0,210.0,11214.5,95.0,10653.775,0.0,11171.0,99.61210932275179,-120.0,120.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Surkhet | Babiyachaur,5,0.0,210.0,13038.888,95.0,12386.9436,60.0,12619.975,96.78720301915317,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Surkhet | Kalyan,5,0.0,210.0,9617.0,95.0,9136.15,60.0,9371.0,97.44202973900384,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Surkhet | Kunathari,5,0.0,210.0,8776.0,95.0,8337.199999999999,60.0,8776.0,100.0,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Surkhet | Lekhpharsa,5,0.0,210.0,11512.0,95.0,10936.4,120.0,11512.0,100.0,0.0,0.0,0.0,maintain N120
2019 T1-T10 core trial,2019,All maize,Surkhet | Maintada-2,5,0.0,210.0,8005.0,95.0,7604.75,60.0,8005.0,100.0,-60.0,60.0,0.0,lower rate
2019 T1-T10 core trial,2019,All maize,Surkhet | Ramghat,5,0.0,210.0,11350.4,95.0,10782.88,60.0,11209.8,98.76127713560756,-60.0,60.0,0.0,lower rate
