S.no,District,VDC,Demo,Organization,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,ZnSO4_kg_ha,FYM_t_ha,N_source,N_methods,N_time,Variety,barcode,latitude,longitude,altitude,precision,Straw_wt_kg_ha,cob_wt_kg_ha,grain_yield_kg_ha,1000_grain_wt_gm,moisture%,Yield_kg_ha,Yield_t_ha,NUE_N,AE_N,PFPN,lat_fixed,lon_fixed,lat_key,lon_key,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,narc_dist,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,farmer_id,OC,P_Olsen,Exch_K,yield_control_pooled,n_supply,p_supply,k_supply,n_rec_quefts,p_rec_quefts,k_rec_quefts,AE_pooled,NUE
111.0,Dang,Laxmipur,A2,,120.0,60.0,40.0,0.0,6.0,manure,top dressing,V6 and V10,Hybrid,DA2-CNV855zD,27.97626094892621 82.46376128867269 541.0 9.0,27.97626094892621,82.46376128867269,541.0,9.0,18700.0,16233.0,15000.0,370.0,22.2,13.261,,,,27.97626094892621,82.46376128867269,27.97626094892621,82.46376128867269,6.75,2.05,0.1,154.21,347.67,46.61,22.24,32.07,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.890951276102086,59.31153846153846,2.838541215817431,5.632608695652174,75.8048143851508,32.64708666116366,39.108041136730236,248.3903712296984,84.19085772967607,389.3585404491128,63.56992753623187,110.50833333333334
125.0,Dang,Laxmipur,A3,,120.0,60.0,40.0,20.0,0.0,0,top dressing,V6 and V10,Hybrid,DA3-POI678rA,27.97634807880968 82.46366917155683 533.0 8.0,27.97634807880968,82.46366917155683,533.0,8.0,19333.0,13367.0,12333.0,338.0,20.3,11.17,,,,27.97634807880968,82.46366917155683,27.97634807880968,82.46366917155683,6.75,2.03,0.1,152.0,341.95,46.78,22.33,32.09,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.774941995359626,58.46153846153846,2.791840448554003,5.632608695652174,75.06525522041761,32.19290307647689,38.78341759502452,249.86948955916478,89.39125977433963,390.1441294200407,46.14492753623188,93.08333333333333
139.0,Dang,Laxmipur,A4,,60.0,60.0,40.0,0.0,0.0,PCU,basal,planting,Hybrid,DA4-KAP678cF,27.976401848718524 82.46342400088906 539.0 8.0,27.976401848718524,82.46342400088906,539.0,8.0,18000.0,12333.0,11067.0,340.0,20.0,10.061,,,,27.976401848718524,82.46342400088906,27.976401848718524,82.46342400088906,6.74,2.0,0.1,149.67,335.77,46.92,22.46,31.97,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.600928074245939,57.56538461538461,2.741384025181979,5.632608695652174,73.75870069605568,31.731300196323396,38.782250394293946,252.48259860788863,94.67661275209711,390.1469540458086,73.80652173913043,167.68333333333334
153.0,Dang,Laxmipur,A5,,78.0,60.0,40.0,0.0,0.0,UDP,basal,planting,Hybrid,DA5-IZD293aS,27.976348791271448 82.4636291898787 546.0 6.0,27.976348791271448,82.4636291898787,546.0,6.0,19333.0,11667.0,10333.0,310.0,19.5,9.453,,,,27.976348791271448,82.4636291898787,27.976348791271448,82.4636291898787,6.75,2.02,0.1,151.42,338.92,46.8,22.36,32.08,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.7169373549884,58.23846153846153,2.7671021050560696,5.632608695652174,74.69547563805105,32.066772822595034,38.599718193795816,250.6090487238979,90.83545118128686,390.5886819710141,48.979375696766986,121.1923076923077
167.0,Dang,Laxmipur,B1,,120.0,60.0,40.0,0.0,0.0,0,top dressing,V6 and V10,OPV,DB1-XCN716lR,27.97634107992053 82.46355844661593 548.0 8.0,27.97634107992053,82.46355844661593,548.0,8.0,20333.0,11723.0,10667.0,315.0,19.4,9.77,,,,27.97634107992053,82.46355844661593,27.97634107992053,82.46355844661593,6.75,2.02,0.1,150.5,333.49,46.83,22.42,32.04,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.7169373549884,57.88461538461538,2.7227690340350184,5.632608695652174,74.69547563805105,31.88984974567196,37.9812935809305,250.6090487238979,92.86122041205607,392.0852695341482,34.47826086956521,81.41666666666667
181.0,Dang,Laxmipur,B2,,120.0,60.0,40.0,0.0,6.0,manure,top dressing,V6 and V10,OPV,DB2-LCF375wD,27.9764004657045 82.4635253380984 547.0 8.0,27.9764004657045,82.4635253380984,547.0,8.0,20667.0,126767.0,11533.0,350.0,21.4,10.301,,,,27.9764004657045,82.4635253380984,27.9764004657045,82.4635253380984,6.75,2.01,0.1,149.74,333.86,46.87,22.44,32.07,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.658932714617167,57.59230769230769,2.725789887861499,5.632608695652174,74.32569605568445,31.729104107174727,38.18232004679237,251.3486078886311,94.70175797284938,391.59878548676244,38.903260869565216,85.84166666666667
195.0,Dang,Laxmipur,B3,,120.0,60.0,40.0,20.0,0.0,0,top dressing,V6 and V10,OPV,DB3-UUY256oO,27.976478207856417 82.46343615464866 536.0 7.0,27.976478207856417,82.46343615464866,536.0,7.0,18000.0,10333.0,10333.0,240.0,18.1,9.617,,,,27.976478207856417,82.46343615464866,27.976478207856417,82.46343615464866,6.75,2.0,0.1,149.04,336.2,46.93,22.46,32.05,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.600928074245939,57.32307692307692,2.744894747196537,5.632608695652174,73.95591647331786,31.579896930215952,38.611280549664066,252.0881670533643,96.41018014902735,390.560701069813,33.20326086956522,80.14166666666667
209.0,Dang,Laxmipur,B4,,60.0,60.0,40.0,0.0,0.0,PCU,basal,planting,OPV,DB4-TQQ704jH,27.97630616929382 82.46368325315416 549.0 7.0,27.97630616929382,82.46368325315416,549.0,7.0,16667.0,10000.0,9200.0,210.0,18.1,8.562,,,,27.97630616929382,82.46368325315416,27.97630616929382,82.46368325315416,6.75,2.03,0.1,152.64,342.51,46.73,22.31,32.06,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.774941995359626,58.7076923076923,2.7964125516427307,5.632608695652174,75.06525522041761,32.315979999553804,38.84693189200717,249.86948955916478,87.98202900510894,389.99042482134263,48.82318840579708,142.7
223.0,Dang,Laxmipur,B5,,78.0,60.0,40.0,0.0,0.0,UDP,basal,planting,OPV,DB5-VNG172tO,27.976494594477117 82.46347739361227 553.0 7.0,27.97649459447712,82.46347739361227,553.0,7.0,18867.0,10333.0,9250.0,200.0,18.9,8.525,,,,27.97649459447712,82.46347739361227,27.97649459447712,82.46347739361227,6.75,2.0,0.1,148.85,335.54,46.92,22.46,32.11,Dang,direct_overlay,False,0.0,direct_overlay,FMR_026,11.600928074245939,57.24999999999999,2.7395061971276804,5.632608695652174,73.95591647331786,31.54335846867749,38.535482081006194,252.0881670533643,96.82854553364275,390.744133363965,37.0819397993311,109.2948717948718
98.0,Dang,Laxmipur,A1,,120.0,60.0,40.0,0.0,0.0,0,top dressing,V6 and V10,Hybrid,DA1-URG604eH,27.990604690276086 82.51853006891906 605.0 8.0,27.990604690276086,82.51853006891906,605.0,8.0,17000.0,13837.0,13000.0,315.0,22.1,11.508,,,,27.990604690276086,82.51853006891906,27.990604690276086,82.51853006891906,6.71,2.1,0.11,178.51,516.47,48.36,19.56,31.66,Dang,direct_overlay,False,0.0,direct_overlay,FMR_145,12.180974477958237,68.6576923076923,4.216703718276608,5.632608695652174,76.8254060324826,37.517612105122254,58.227040479921584,246.3491879350348,28.423341396350196,343.0905620385898,48.961594202898546,95.9
