province,district,palika,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,maize_urea_total,maize_dap,maize_mop,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,OC,P_Olsen,Exch_K,n_supply,p_supply,k_supply,target_yield_t_ha,quefts_N_kg_ha,quefts_P2O5_kg_ha,quefts_K2O_kg_ha,IE_N_kg_grain_per_kg_uptake,RE_N_fraction,dsm_interpretation
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,27.92,83.06,6.24,2.99,0.11,112.27,400.04,55.2,11.94,30.59,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,17.343387470997683,43.18076923076923,3.2661144993114304,95.52737819025523,27.485748884526146,41.91832781078187,6.0,108.94524361948953,28.788175272175632,261.55764669790784,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.92,83.18,6.34,3.09,0.11,144.61,335.07,49.14,11.88,36.42,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,17.923433874709975,55.619230769230775,2.73566889632107,101.76925754060323,33.720226173478494,32.590675228345546,6.0,96.46148491879353,0.0,284.1305659474038,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.92,83.22,6.62,2.88,0.11,122.76,266.48,46.74,12.1,40.64,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,16.70533642691415,47.215384615384615,2.1756679126500096,102.80464037122968,28.330792075673745,24.01117129204644,6.0,94.39071925754064,19.112430733535618,304.8929654732476,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,27.94,83.06,6.43,2.68,0.1,128.82,393.37,52.84,13.04,35.3,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.54524361948956,49.54615384615384,3.2116574857367692,90.64431554524361,29.710906969480632,41.5749341127361,6.0,118.71136890951277,3.3101151994467606,262.3886594471786,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.94,83.22,6.59,2.6,0.11,121.3,267.06,41.8,13.68,43.92,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,15.081206496519721,46.65384615384615,2.1804033051347624,92.04060324825986,27.68663595395324,26.74210078694856,6.0,115.91879350348029,26.488018327235416,298.28411609558447,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Chhatradev Gaunpalika,27.94,83.26,6.74,2.64,0.12,143.36,291.6,39.76,16.84,45.4,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.31322505800464,55.13846153846154,2.380759394058627,97.36148491879351,31.46139318222381,26.550262363380057,6.0,105.27703016241298,0.0,298.74836508062026,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,27.96,83.06,6.45,2.87,0.11,128.25,393.39,52.16,13.32,35.47,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,16.647331786542924,49.32692307692307,3.211820775132795,97.63660092807426,29.900087843565945,38.77046582237284,6.0,104.72679814385148,1.1439941911699276,269.17547270985773,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sandhikharka Nagarpalika,27.96,83.12,6.48,2.95,0.12,134.13,351.88,49.59,12.01,35.76,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,17.111368909512763,51.58846153846154,2.8729136336808967,101.23085846867751,31.09327949312868,33.35177102147156,6.0,97.53828306264498,0.0,282.2887141280388,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sandhikharka Nagarpalika,27.96,83.14,6.51,2.72,0.11,130.03,327.06,48.4,12.6,37.87,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.777262180974478,50.01153846153846,2.670271493212669,94.14292343387471,29.80966946278779,32.802422758716325,6.0,111.71415313225057,2.179284651079786,283.6181369239065,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Chhatradev Gaunpalika,27.96,83.26,6.87,2.4,0.1,134.22,226.33,34.91,13.56,49.49,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,13.921113689095128,51.62307692307692,1.8478644501278774,91.58700696055683,28.839972336248437,20.73107972130848,6.0,116.82598607888633,13.2823167499554,312.8307870744335,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sandhikharka Nagarpalika,27.98,83.12,6.52,2.61,0.11,151.64,319.52,48.0,12.33,38.96,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.139211136890951,58.32307692307692,2.608711390910879,90.59303944315543,33.743874888452616,33.05697715903965,6.0,118.81392111368913,0.0,283.002115275124,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sandhikharka Nagarpalika,27.98,83.14,6.52,2.92,0.12,148.7,332.22,46.93,12.09,36.67,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,16.937354988399072,57.192307692307686,2.712400157387369,101.35313225058003,33.72275245404248,31.14515670494123,6.0,97.29373549883994,0.0,287.6287207740422,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sandhikharka Nagarpalika,27.98,83.16,6.6,2.67,0.11,137.64,340.65,44.3,12.05,41.89,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.48723897911833,52.93846153846153,2.7812266378123147,94.78190255220416,30.914068356237728,33.154472577400156,6.0,110.43619489559168,0.0,282.7661763626916,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Chhatradev Gaunpalika,27.98,83.2,6.66,2.47,0.11,125.89,246.86,41.95,13.9,44.94,10.44,1.08,3.34,NARC_API_modelled_DSM,False,0,none,14.327146171693737,48.419230769230765,2.0154810151485343,89.14350348027844,28.131958192039978,24.898466613496268,6.0,121.71299303944312,21.389078701142257,302.74571079533905,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Chhatradev Gaunpalika,27.98,83.24,6.74,2.7,0.1,147.45,293.8,37.02,11.91,47.8,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,15.661252900232018,56.71153846153845,2.398721227621483,99.57424593967518,32.336389880421194,26.229983774319614,6.0,100.85150812064964,0.0,299.52343926614657,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Chhatradev Gaunpalika,27.98,83.26,6.74,2.41,0.1,167.87,294.92,36.7,12.9,51.32,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,13.979118329466358,64.56538461538462,2.4078654337989374,88.87923433874711,35.83576481349277,29.06373464018651,6.0,122.24153132250578,0.0,292.6657621707486,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,28.0,82.98,6.53,2.47,0.09,170.91,457.58,51.55,13.04,36.58,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,14.327146171693737,65.73461538461538,3.7358980916781417,85.97720417633413,37.177522164465465,49.41255538127827,6.0,128.04559164733175,0.0,243.42161597730657,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Bhumekasthan Nagarpalika,28.0,83.0,6.5,2.51,0.09,175.36,501.32,50.7,12.79,35.45,10.44,1.08,0.83,NARC_API_modelled_DSM,False,0,none,14.559164733178653,67.44615384615385,4.093012000786936,86.62703016241299,38.18182112261289,54.2004200734056,6.0,126.74593967517401,0.0,231.83498342235842,40.0,0.5,modelled spatial covariate
