year,adm1,adm2,site,treatment_code,treatment,treatment_group,n_obs,n_trials,n_farmers,n_yield,mean_yield_kg_ha,sd_yield_kg_ha,min_yield_kg_ha,max_yield_kg_ha,mean_yield_t_ha,mean_N_fertilizer_kg_ha,mean_P2O5_fertilizer_kg_ha,mean_K2O_fertilizer_kg_ha,mean_organic_fertilizer_t_ha,mean_PFPN_kg_grain_per_kg_N,mean_AE_N_kg_grain_per_kg_N,mean_straw_yield_kg_ha,mean_cob_yield_kg_ha,mean_grain_yield_raw_kg_ha,mean_grain_moisture_pct,source_datasets
2017,Dang,Purandhara,Dang | Purandhara,5,N-60,Nrates,3,3,3,3,7284.0,1420.9936664179752,6201.0,8893.0,7.3,60.0,60.0,40.0,,121.33333333333333,,38566.666666666664,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,6,N-120,Nrates,3,3,3,3,7387.0,1448.662831717581,5715.0,8267.0,7.3999999999999995,120.0,60.0,40.0,,61.666666666666664,,36633.333333333336,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,7,N-180,Nrates,3,3,3,3,7628.666666666667,429.89456071615194,7236.0,8088.0,7.633333333333333,180.0,60.0,40.0,,42.333333333333336,,36200.0,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,8,N-210,Nrates,3,3,3,3,7465.0,67.8159273327439,7387.0,7510.0,7.466666666666666,210.0,60.0,40.0,,35.666666666666664,,33810.0,,,,nsaf_maize_trials_2017
2017,Dang,Purandhara,Dang | Purandhara,9,NPK+micros,NPK+micros,3,3,3,3,7334.333333333333,1019.937416380698,6178.0,8106.0,7.333333333333333,120.0,60.0,40.0,,61.0,,33738.666666666664,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,1,CK,control,2,2,2,2,2909.0,369.10973977937783,2648.0,3170.0,2.9000000000000004,0.0,0.0,0.0,,0.0,,17528.0,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,10,K and S,Ntiming,3,3,3,3,9194.0,1031.5817951088513,8183.0,10245.0,9.2,120.0,60.0,40.0,,76.33333333333333,,24511.0,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,2,N0,omission,2,2,2,2,5816.0,3408.254685319159,3406.0,8226.0,5.8,0.0,60.0,40.0,,0.0,,20183.5,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,3,P0,omission,3,3,3,3,9297.666666666666,413.4988915744917,8987.0,9767.0,9.299999999999999,120.0,0.0,40.0,,77.33333333333333,,22273.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,4,K0,omission,3,3,3,3,8738.0,545.5795084128436,8114.0,9125.0,8.733333333333333,120.0,60.0,0.0,,73.0,,18283.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,5,N-60,Nrates,2,2,2,2,8702.5,258.0939751330898,8520.0,8885.0,8.7,60.0,60.0,40.0,,145.0,,21995.0,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,6,N-120,Nrates,2,2,2,2,9076.5,335.87572106361006,8839.0,9314.0,9.05,120.0,60.0,40.0,,76.0,,18683.0,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,7,N-180,Nrates,2,2,2,2,8879.5,307.59144981614816,8662.0,9097.0,8.899999999999999,180.0,60.0,40.0,,49.5,,19680.0,,,,nsaf_maize_trials_2017
2017,Dang,Shantinagar,Dang | Shantinagar,8,N-210,Nrates,2,2,2,2,8536.5,70.0035713374682,8487.0,8586.0,8.55,210.0,60.0,40.0,,40.5,,96745.0,,,,nsaf_maize_trials_2017
