year,adm1,adm2,site,treatment_code,treatment,treatment_group,n_obs,n_trials,n_farmers,n_yield,mean_yield_kg_ha,sd_yield_kg_ha,min_yield_kg_ha,max_yield_kg_ha,mean_yield_t_ha,mean_N_fertilizer_kg_ha,mean_P2O5_fertilizer_kg_ha,mean_K2O_fertilizer_kg_ha,mean_organic_fertilizer_t_ha,mean_PFPN_kg_grain_per_kg_N,mean_AE_N_kg_grain_per_kg_N,mean_straw_yield_kg_ha,mean_cob_yield_kg_ha,mean_grain_yield_raw_kg_ha,mean_grain_moisture_pct,source_datasets,treatment_lc,study,variety,stage,stage_name,treatment_role,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,FYM_t_ha,mineral_N_rate_response,government_reference,AE_N_applicable,PFP_N_applicable,government_reference_yield_kg_ha,government_reference_N_kg_ha,government_reference_available,relative_yield_to_government_reference_pct,yield_response_vs_government_reference_kg_ha,N_rate_difference_vs_government_reference_kg_ha,potential_mineral_N_reduction_applicable,potential_mineral_N_reduction_kg_ha,N0_PK_reference_yield_kg_ha,yield_response_to_N_kg_ha,AE_N_kg_grain_per_kg_N,PFP_N_kg_grain_per_kg_N
2017,Dang,Laxmipur,Dang | Laxmipur,10,K and S,Ntiming,3,3,3,3,6917.666666666667,1296.7287045998996,6169.0,8415.0,6.933333333333334,120.0,60.0,40.0,,57.333333333333336,,24780.0,,,,nsaf_maize_trials_2017,k and s,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + K/S,120.0,60.0,40.0,,False,False,True,True,7269.333333333333,120.0,True,95.16232575201762,-351.66666666666606,0.0,False,,5839.0,1078.666666666667,8.98888888888889,57.647222222222226
2017,Dang,Laxmipur,Dang | Laxmipur,9,NPK+micros,NPK+micros,3,3,3,3,6441.0,441.6729559300637,6186.0,6951.0,6.466666666666666,120.0,60.0,40.0,,54.0,,21765.33333333333,,,,nsaf_maize_trials_2017,npk+micros,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + micronutrients,120.0,60.0,40.0,,False,False,True,True,7269.333333333333,120.0,True,88.60509904622157,-828.333333333333,0.0,False,,5839.0,602.0,5.016666666666667,53.675
2017,Dang,Panchakule,Dang | Panchakule,1,CK,control,1,1,1,1,6879.0,,6879.0,6879.0,6.9,0.0,0.0,0.0,,0.0,,26953.0,,,,nsaf_maize_trials_2017,ck,2017 core trial,All maize,1,No-input reference,N0-P0-K0,0.0,0.0,0.0,,False,False,False,False,8504.0,120.0,True,80.89134524929445,-1625.0,-120.0,False,,8108.0,,,
2017,Dang,Panchakule,Dang | Panchakule,2,N0,omission,2,2,2,2,8108.0,123.03657992645928,8021.0,8195.0,8.1,0.0,60.0,40.0,,0.0,,33120.0,,,,nsaf_maize_trials_2017,n0,2017 core trial,All maize,2,N-zero agronomic reference,N0-P60-K40,0.0,60.0,40.0,,True,False,False,False,8504.0,120.0,True,95.34336782690498,-396.0,-120.0,False,,8108.0,,,
2017,Dang,Panchakule,Dang | Panchakule,6,N-120,Nrates,2,2,2,2,8504.0,427.0924958366747,8202.0,8806.0,8.5,120.0,60.0,40.0,,70.5,,27232.5,,,,nsaf_maize_trials_2017,n-120,2017 core trial,All maize,4,Government-recommended NPK reference,N120-P60-K40,120.0,60.0,40.0,,True,True,True,True,8504.0,120.0,True,100.0,0.0,0.0,False,,8108.0,396.0,3.3,70.86666666666666
2017,Dang,Panchakule,Dang | Panchakule,5,N-60,Nrates,2,2,2,2,8235.5,532.4514062334703,7859.0,8612.0,8.25,60.0,60.0,40.0,,137.5,,32468.5,,,,nsaf_maize_trials_2017,n-60,2017 core trial,All maize,5,N-rate response and adjustment,N60-P60-K40,60.0,60.0,40.0,,True,False,True,True,8504.0,120.0,True,96.84266227657572,-268.5,-60.0,True,60.0,8108.0,127.5,2.125,137.25833333333333
2017,Dang,Panchakule,Dang | Panchakule,7,N-180,Nrates,2,2,2,2,7531.0,308.2985565973347,7313.0,7749.0,7.5,180.0,60.0,40.0,,42.0,,29758.5,,,,nsaf_maize_trials_2017,n-180,2017 core trial,All maize,5,N-rate response and adjustment,N180-P60-K40,180.0,60.0,40.0,,True,False,True,True,8504.0,120.0,True,88.55832549388523,-973.0,60.0,False,,8108.0,-577.0,-3.2055555555555557,41.83888888888889
2017,Dang,Panchakule,Dang | Panchakule,8,N-210,Nrates,2,2,2,2,5706.5,3556.040002587148,3192.0,8221.0,5.699999999999999,210.0,60.0,40.0,,27.0,,33861.5,,,,nsaf_maize_trials_2017,n-210,2017 core trial,All maize,5,N-rate response and adjustment,N210-P60-K40,210.0,60.0,40.0,,True,False,True,True,8504.0,120.0,True,67.10371589840075,-2797.5,90.0,False,,8108.0,-2401.5,-11.435714285714285,27.173809523809524
2017,Dang,Panchakule,Dang | Panchakule,10,K and S,Ntiming,2,2,2,2,8544.5,627.2037149124676,8101.0,8988.0,8.55,120.0,60.0,40.0,,71.5,,33238.0,,,,nsaf_maize_trials_2017,k and s,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + K/S,120.0,60.0,40.0,,False,False,True,True,8504.0,120.0,True,100.47624647224835,40.5,0.0,False,,8108.0,436.5,3.6375,71.20416666666667
2017,Dang,Panchakule,Dang | Panchakule,9,NPK+micros,NPK+micros,2,2,2,2,8494.5,385.3731957466684,8222.0,8767.0,8.5,120.0,60.0,40.0,,71.0,,32635.0,,,,nsaf_maize_trials_2017,npk+micros,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + micronutrients,120.0,60.0,40.0,,False,False,True,True,8504.0,120.0,True,99.88828786453433,-9.5,0.0,False,,8108.0,386.5,3.220833333333333,70.7875
2017,Dang,Pawannagar,Dang | Pawannagar,1,CK,control,3,3,3,3,5758.0,403.4240944713144,5303.0,6072.0,5.766666666666667,0.0,0.0,0.0,,0.0,,13555.666666666666,,,,nsaf_maize_trials_2017,ck,2017 core trial,All maize,1,No-input reference,N0-P0-K0,0.0,0.0,0.0,,False,False,False,False,6501.333333333333,120.0,True,88.56644790812142,-743.333333333333,-120.0,False,,5612.0,,,
2017,Dang,Pawannagar,Dang | Pawannagar,2,N0,omission,3,3,3,3,5612.0,648.9992295835181,4892.0,6152.0,5.633333333333333,0.0,60.0,40.0,,0.0,,22444.33333333333,,,,nsaf_maize_trials_2017,n0,2017 core trial,All maize,2,N-zero agronomic reference,N0-P60-K40,0.0,60.0,40.0,,True,False,False,False,6501.333333333333,120.0,True,86.32075471698114,-889.333333333333,-120.0,False,,5612.0,,,
2017,Dang,Pawannagar,Dang | Pawannagar,6,N-120,Nrates,3,3,3,3,6501.333333333333,913.4880039351,5449.0,7090.0,6.5,120.0,60.0,40.0,,54.0,,20999.666666666668,,,,nsaf_maize_trials_2017,n-120,2017 core trial,All maize,4,Government-recommended NPK reference,N120-P60-K40,120.0,60.0,40.0,,True,True,True,True,6501.333333333333,120.0,True,99.99999999999999,0.0,0.0,False,,5612.0,889.333333333333,7.411111111111109,54.17777777777778
2017,Dang,Pawannagar,Dang | Pawannagar,5,N-60,Nrates,3,3,3,3,6437.666666666667,2217.6465753887232,3877.0,7732.0,6.433333333333334,60.0,60.0,40.0,,107.33333333333331,,19000.0,,,,nsaf_maize_trials_2017,n-60,2017 core trial,All maize,5,N-rate response and adjustment,N60-P60-K40,60.0,60.0,40.0,,True,False,True,True,6501.333333333333,120.0,True,99.02071369975391,-63.66666666666606,-60.0,True,60.0,5612.0,825.666666666667,13.761111111111116,107.29444444444445
2017,Dang,Pawannagar,Dang | Pawannagar,7,N-180,Nrates,3,3,3,3,8023.333333333333,501.617716327218,7448.0,8369.0,8.033333333333333,180.0,60.0,40.0,,44.333333333333336,,26000.33333333333,,,,nsaf_maize_trials_2017,n-180,2017 core trial,All maize,5,N-rate response and adjustment,N180-P60-K40,180.0,60.0,40.0,,True,False,True,True,6501.333333333333,120.0,True,123.41058244462674,1522.0,60.0,False,,5612.0,2411.333333333333,13.396296296296295,44.57407407407407
2017,Dang,Pawannagar,Dang | Pawannagar,8,N-210,Nrates,3,3,3,3,7171.333333333333,1643.1829883897085,5811.0,8997.0,7.166666666666667,210.0,60.0,40.0,,34.333333333333336,,14888.666666666666,,,,nsaf_maize_trials_2017,n-210,2017 core trial,All maize,5,N-rate response and adjustment,N210-P60-K40,210.0,60.0,40.0,,True,False,True,True,6501.333333333333,120.0,True,110.30557834290401,670.0,90.0,False,,5612.0,1559.333333333333,7.425396825396824,34.149206349206345
2017,Dang,Pawannagar,Dang | Pawannagar,10,K and S,Ntiming,3,3,3,3,6788.666666666667,1860.933726206641,5573.0,8931.0,6.8,120.0,60.0,40.0,,56.333333333333336,,12222.333333333334,,,,nsaf_maize_trials_2017,k and s,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + K/S,120.0,60.0,40.0,,False,False,True,True,6501.333333333333,120.0,True,104.41960623461856,287.33333333333394,0.0,False,,5612.0,1176.666666666667,9.805555555555559,56.57222222222222
2017,Dang,Pawannagar,Dang | Pawannagar,9,NPK+micros,NPK+micros,3,3,3,3,5380.666666666667,2336.714217300296,2784.0,7314.0,5.366666666666667,120.0,60.0,40.0,,44.66666666666666,,22444.666666666668,,,,nsaf_maize_trials_2017,npk+micros,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + micronutrients,120.0,60.0,40.0,,False,False,True,True,6501.333333333333,120.0,True,82.76251025430682,-1120.666666666666,0.0,False,,5612.0,-231.33333333333303,-1.9277777777777751,44.83888888888889
2017,Dang,Purandhara,Dang | Purandhara,1,CK,control,2,2,2,2,7004.5,700.7428201558686,6509.0,7500.0,7.0,0.0,0.0,0.0,,0.0,,32167.0,,,,nsaf_maize_trials_2017,ck,2017 core trial,All maize,1,No-input reference,N0-P0-K0,0.0,0.0,0.0,,False,False,False,False,7387.0,120.0,True,94.82198456748341,-382.5,-120.0,False,,6920.5,,,
2017,Dang,Purandhara,Dang | Purandhara,2,N0,omission,2,2,2,2,6920.5,762.9682169002848,6381.0,7460.0,6.9,0.0,60.0,40.0,,0.0,,33350.0,,,,nsaf_maize_trials_2017,n0,2017 core trial,All maize,2,N-zero agronomic reference,N0-P60-K40,0.0,60.0,40.0,,True,False,False,False,7387.0,120.0,True,93.68485176661703,-466.5,-120.0,False,,6920.5,,,
2017,Dang,Purandhara,Dang | Purandhara,6,N-120,Nrates,3,3,3,3,7387.0,1448.662831717581,5715.0,8267.0,7.399999999999999,120.0,60.0,40.0,,61.66666666666666,,36633.333333333336,,,,nsaf_maize_trials_2017,n-120,2017 core trial,All maize,4,Government-recommended NPK reference,N120-P60-K40,120.0,60.0,40.0,,True,True,True,True,7387.0,120.0,True,100.0,0.0,0.0,False,,6920.5,466.5,3.8875,61.55833333333333
2017,Dang,Purandhara,Dang | Purandhara,5,N-60,Nrates,3,3,3,3,7284.0,1420.9936664179752,6201.0,8893.0,7.3,60.0,60.0,40.0,,121.33333333333331,,38566.66666666666,,,,nsaf_maize_trials_2017,n-60,2017 core trial,All maize,5,N-rate response and adjustment,N60-P60-K40,60.0,60.0,40.0,,True,False,True,True,7387.0,120.0,True,98.60565858941384,-103.0,-60.0,True,60.0,6920.5,363.5,6.058333333333334,121.4
