year,study,district,site,N0-P0-K0,N0-P60-K40,latitude,longitude,control_yield_t_ha,n_omission_yield_t_ha,pk_yield_response_t_ha,pk_yield_response_pct_control
2017,2017 core trial,Surkhet,Lekhpharsa,6.666666666666667,7.815533333333334,28.47386746666667,81.80856531666667,6.666666666666667,7.815533333333334,1.1488666666666667,17.233
2017,2017 core trial,Surkhet,Maintada-3,4.3917,6.782233333333334,28.443311886666667,81.80852307916666,4.3917,6.782233333333334,2.390533333333334,54.43298343086581
2017,2017 core trial,Surkhet,Maintada-4,6.1444333333333345,6.811133333333334,28.419852138333333,81.79543643833334,6.1444333333333345,6.811133333333334,0.6666999999999996,10.850471700672145
2017,2017 core trial,Surkhet,Neta,6.24165,9.89,28.550066425,81.79385384999999,6.24165,9.89,3.6483500000000006,58.45169145979029
2017,2017 core trial,Surkhet,Ramghat,3.565,7.975,28.48883655,81.7431206,3.565,7.975,4.41,123.70266479663394
2018,"2018 N source, timing and FYM trial",Dang,Dhikpur,6.764,7.778666666666666,28.033888580000003,82.37338285833333,6.764,7.778666666666666,1.014666666666666,15.000985610092636
2018,"2018 N source, timing and FYM trial",Dang,Dhuruwa,7.84,9.516,28.0214735425,82.3246647175,7.84,9.516,1.6760000000000002,21.377551020408166
2018,"2018 N source, timing and FYM trial",Dang,Hapur,5.077,5.213,28.090448776666666,82.42108206333333,5.077,5.213,0.13600000000000012,2.6787472917077038
2018,"2018 N source, timing and FYM trial",Dang,Laxmipur,4.576,6.291,27.977827443333332,82.46365233666667,4.576,6.291,1.7150000000000007,37.478146853146875
2018,"2018 N source, timing and FYM trial",Dang,Panchakaule,5.73725,7.408499999999999,28.1161729075,82.166335365,5.73725,7.408499999999999,1.6712499999999988,29.129809577759357
2018,"2018 N source, timing and FYM trial",Dang,Pawannagar,5.823666666666667,5.853000000000001,28.170453620000004,82.26027281999998,5.823666666666667,5.853000000000001,0.029333333333333655,0.503691832179045
2018,"2018 N source, timing and FYM trial",Dang,Purandhara,6.321000000000001,7.886333333333333,28.187574058333333,82.09802281,6.321000000000001,7.886333333333333,1.5653333333333324,24.76401413278488
2018,"2018 N source, timing and FYM trial",Dang,Shantinagar,5.864999999999999,6.428999999999999,28.165573853333335,82.22549202833333,5.864999999999999,6.428999999999999,0.5640000000000001,9.616368286445015
2018,"2018 N source, timing and FYM trial",Doti,Chattiwan,5.692666666666667,5.561333333333333,29.082115948333332,80.59343874666666,5.692666666666667,5.561333333333333,-0.13133333333333397,-2.3070617168286796
2018,"2018 N source, timing and FYM trial",Doti,Ghantesori,6.147333333333333,7.978666666666666,29.144260101666667,80.60340461666667,6.147333333333333,7.978666666666666,1.8313333333333333,29.79069515236959
2018,"2018 N source, timing and FYM trial",Kavre,Anekot,4.339666666666667,4.996333333333333,27.660351469166667,85.58859310083332,4.339666666666667,4.996333333333333,0.6566666666666663,15.131730547661101
2018,"2018 N source, timing and FYM trial",Kavre,Bhakundebesi,6.609999999999999,7.976333333333334,27.558005653333332,85.66621676833333,6.609999999999999,7.976333333333334,1.3663333333333343,20.670700958144245
2018,"2018 N source, timing and FYM trial",Kavre,Rabiopi,6.636,8.972333333333333,27.647592539999998,85.56456278166667,6.636,8.972333333333333,2.336333333333333,35.20695197910388
2018,"2018 N source, timing and FYM trial",Palpa,Chidipani,4.1345,5.2705,,,4.1345,5.2705,1.1360000000000001,27.476115612528723
2018,"2018 N source, timing and FYM trial",Palpa,Devinagar,4.800333333333334,5.6706666666666665,,,4.800333333333334,5.6706666666666665,0.870333333333333,18.130685369071585
2018,"2018 N source, timing and FYM trial",Palpa,Khasyauli,4.608666666666667,5.349666666666667,,,4.608666666666667,5.349666666666667,0.7409999999999997,16.078403008823948
2018,"2018 N source, timing and FYM trial",Palpa,Madanpokhara,4.177333333333333,4.7523333333333335,,,4.177333333333333,4.7523333333333335,0.5750000000000002,13.764762208745614
2018,"2018 N source, timing and FYM trial",Surkhet,Babiyachaur,7.1049999999999995,8.804,28.804873569999998,81.39947721,7.1049999999999995,8.804,1.6990000000000007,23.91273750879663
2018,"2018 N source, timing and FYM trial",Surkhet,Gadhi,5.639666666666667,7.068333333333334,28.639586246666667,81.59303495500001,5.639666666666667,7.068333333333334,1.4286666666666674,25.332466457828488
2018,"2018 N source, timing and FYM trial",Surkhet,Guthu,5.606,7.191,28.833551575,81.30625107,5.606,7.191,1.585,28.273278630039243
2018,"2018 N source, timing and FYM trial",Surkhet,Kalyan,6.9993333333333325,7.539000000000001,28.50486518333333,81.73679539,6.9993333333333325,7.539000000000001,0.5396666666666681,7.710258119820957
2018,"2018 N source, timing and FYM trial",Surkhet,Kunathari,6.386,7.904,28.71292778,81.51044930333333,6.386,7.904,1.5179999999999998,23.770748512370808
