year,study,district,site,N_rate_kg_ha,mean_yield_t_ha,sd_yield_t_ha,n_observations
2018,"2018 N source, timing and FYM trial",Doti,Ghantesori,0,7.978666666666666,0.7144118793338566,3
2018,"2018 N source, timing and FYM trial",Kavre,Anekot,0,4.996333333333333,2.4647637479753177,3
2018,"2018 N source, timing and FYM trial",Kavre,Bhakundebesi,0,7.976333333333334,0.5520075482575701,3
2018,"2018 N source, timing and FYM trial",Kavre,Rabiopi,0,8.972333333333333,0.4488923404707789,3
2018,"2018 N source, timing and FYM trial",Palpa,Chidipani,0,5.2705,0.6257895013500944,2
2018,"2018 N source, timing and FYM trial",Palpa,Devinagar,0,5.6706666666666665,0.883382325685393,3
2018,"2018 N source, timing and FYM trial",Palpa,Khasyauli,0,5.349666666666667,0.8303952873983169,3
2018,"2018 N source, timing and FYM trial",Palpa,Madanpokhara,0,4.7523333333333335,0.5510874098846146,3
2018,"2018 N source, timing and FYM trial",Surkhet,Babiyachaur,0,8.804,0.6164770879765114,3
2018,"2018 N source, timing and FYM trial",Surkhet,Gadhi,0,7.068333333333334,1.5818019260746063,3
2018,"2018 N source, timing and FYM trial",Surkhet,Guthu,0,7.191,,1
2018,"2018 N source, timing and FYM trial",Surkhet,Kalyan,0,7.539000000000001,1.3379308651795132,3
2018,"2018 N source, timing and FYM trial",Surkhet,Kunathari,0,7.904,0.10188719252192555,3
2018,"2018 N source, timing and FYM trial",Surkhet,Lekhpharsa,0,8.210333333333333,1.308465640868469,3
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-1,0,7.1899999999999995,0.024041630560342794,2
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-2,0,5.986,0.537401153701776,2
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-7,0,6.551,,1
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-8,0,8.593,,1
2018,"2018 N source, timing and FYM trial",Surkhet,Ramghat,0,7.943666666666666,0.575805812173977,3
2019,2019 T1-T10 core trial,Dang,Dhikpur,0,7.065,1.97848477375996,2
2019,2019 T1-T10 core trial,Dang,Dhikpur,60,8.419,0.6972072862499363,2
2019,2019 T1-T10 core trial,Dang,Dhikpur,120,8.5775,0.47305443661380064,2
2019,2019 T1-T10 core trial,Dang,Dhikpur,180,7.519,0.6689230150024738,2
2019,2019 T1-T10 core trial,Dang,Dhikpur,210,7.2715,0.9397449121969211,2
2019,2019 T1-T10 core trial,Dang,Laxmipur,0,8.4195,1.7599887783733164,2
2019,2019 T1-T10 core trial,Dang,Laxmipur,60,9.2395,0.21001071401240504,2
2019,2019 T1-T10 core trial,Dang,Laxmipur,120,11.756499999999999,0.6130615792887355,2
2019,2019 T1-T10 core trial,Dang,Laxmipur,180,11.0415,1.461589716712594,2
2019,2019 T1-T10 core trial,Dang,Laxmipur,210,10.807,1.8893893193304554,2
2019,2019 T1-T10 core trial,Dang,Panchakule,0,8.639,2.729432175380075,2
