year,study,district,site,n_rates,min_N_rate_kg_ha,max_N_rate_kg_ha,quadratic_a,quadratic_b,quadratic_c,r_squared,plateau_N_rate_kg_ha,predicted_plateau_yield_t_ha,yield_N0_t_ha,yield_N60_t_ha,yield_N120_t_ha,yield_N180_t_ha,yield_N210_t_ha,AE_N_60_kg_kg,AE_N_120_kg_kg,AE_N_180_kg_kg,AE_N_210_kg_kg
2017,2017 core trial,Surkhet,Guthu,5,0.0,210.0,-0.00019831427879108375,0.05738498788439527,6.799724583663753,0.9067730290537479,144.68193675768572,10.951010177629072,6.8667,9.200633333333334,11.455566666666668,10.0,10.444466666666667,38.898888888888905,38.24055555555557,17.407222222222224,17.03698412698413
2017,2017 core trial,Surkhet,Kalyan,5,0.0,210.0,-9.952954739037244e-05,0.03137800422944763,7.710002630187673,0.970637325907427,157.63160313779767,10.183085185163886,7.6499,9.432233333333334,9.803333333333333,10.281133333333335,9.863333333333335,29.705555555555577,17.945277777777775,14.617962962962972,10.540158730158739
2017,2017 core trial,Surkhet,Lekhpharsa,5,0.0,210.0,-7.175586688988754e-05,0.028794063353599474,7.832095995241861,0.9344352879324224,200.6390877960209,10.720703297845377,7.815533333333334,9.4411,9.904433333333332,11.156666666666666,10.474433333333332,27.09277777777778,17.40749999999998,18.56185185185185,12.661428571428564
2017,2017 core trial,Surkhet,Maintada-3,5,0.0,210.0,-3.422684083766565e-05,0.013165119614062951,6.776276989162033,0.9955748009319565,192.32157119764202,8.042245233752773,6.782233333333334,7.437766666666666,7.838866666666665,8.094433333333333,7.997766666666667,10.925555555555528,8.805277777777762,7.289999999999994,5.788253968253967
2017,2017 core trial,Surkhet,Maintada-4,5,0.0,210.0,3.074665535876829e-05,0.007427704974006626,6.9676931800158535,0.9494227029580191,,,6.811133333333334,7.933349999999999,8.033333333333333,9.155566666666667,10.044433333333332,18.70361111111108,10.184999999999993,13.024629629629628,15.396666666666656
2017,2017 core trial,Surkhet,Neta,5,0.0,210.0,-0.00018524267556612947,0.048078293351837234,9.562831126090398,0.7395134099414877,129.77110486258834,12.682417750178175,9.89,11.05335,12.798900000000001,13.158900000000001,10.812199999999999,19.389166666666657,24.24083333333334,18.160555555555558,4.3914285714285635
2017,2017 core trial,Surkhet,Ramghat,5,0.0,210.0,-0.00010603896819103,0.02921263877874707,8.1431956780333,0.8694134935678777,137.74482757188036,10.15514062378237,7.975,9.965,9.7965,9.865,9.745000000000001,33.16666666666667,15.17916666666667,10.500000000000002,8.428571428571436
2018,"2018 N source, timing and FYM trial",Dang,Dhikpur,1,0.0,0.0,,,,,,,7.778666666666666,,,,,,,,
2018,"2018 N source, timing and FYM trial",Dang,Dhuruwa,1,0.0,0.0,,,,,,,9.516,,,,,,,,
2018,"2018 N source, timing and FYM trial",Dang,Hapur,1,0.0,0.0,,,,,,,5.213,,,,,,,,
2018,"2018 N source, timing and FYM trial",Dang,Laxmipur,1,0.0,0.0,,,,,,,6.291,,,,,,,,
2018,"2018 N source, timing and FYM trial",Dang,Panchakaule,1,0.0,0.0,,,,,,,7.408499999999999,,,,,,,,
2018,"2018 N source, timing and FYM trial",Dang,Pawannagar,1,0.0,0.0,,,,,,,5.853000000000001,,,,,,,,
2018,"2018 N source, timing and FYM trial",Dang,Purandhara,1,0.0,0.0,,,,,,,7.886333333333333,,,,,,,,
2018,"2018 N source, timing and FYM trial",Dang,Shantinagar,1,0.0,0.0,,,,,,,6.428999999999999,,,,,,,,
2018,"2018 N source, timing and FYM trial",Doti,Chattiwan,1,0.0,0.0,,,,,,,5.561333333333333,,,,,,,,
2018,"2018 N source, timing and FYM trial",Doti,Ghantesori,1,0.0,0.0,,,,,,,7.978666666666666,,,,,,,,
2018,"2018 N source, timing and FYM trial",Kavre,Anekot,1,0.0,0.0,,,,,,,4.996333333333333,,,,,,,,
2018,"2018 N source, timing and FYM trial",Kavre,Bhakundebesi,1,0.0,0.0,,,,,,,7.976333333333334,,,,,,,,
2018,"2018 N source, timing and FYM trial",Kavre,Rabiopi,1,0.0,0.0,,,,,,,8.972333333333333,,,,,,,,
2018,"2018 N source, timing and FYM trial",Palpa,Chidipani,1,0.0,0.0,,,,,,,5.2705,,,,,,,,
2018,"2018 N source, timing and FYM trial",Palpa,Devinagar,1,0.0,0.0,,,,,,,5.6706666666666665,,,,,,,,
2018,"2018 N source, timing and FYM trial",Palpa,Khasyauli,1,0.0,0.0,,,,,,,5.349666666666667,,,,,,,,
2018,"2018 N source, timing and FYM trial",Palpa,Madanpokhara,1,0.0,0.0,,,,,,,4.7523333333333335,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Babiyachaur,1,0.0,0.0,,,,,,,8.804,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Gadhi,1,0.0,0.0,,,,,,,7.068333333333334,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Guthu,1,0.0,0.0,,,,,,,7.191,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Kalyan,1,0.0,0.0,,,,,,,7.539000000000001,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Kunathari,1,0.0,0.0,,,,,,,7.904,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Lekhpharsa,1,0.0,0.0,,,,,,,8.210333333333333,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-1,1,0.0,0.0,,,,,,,7.1899999999999995,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-2,1,0.0,0.0,,,,,,,5.986,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-7,1,0.0,0.0,,,,,,,6.551,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-8,1,0.0,0.0,,,,,,,8.593,,,,,,,,
2018,"2018 N source, timing and FYM trial",Surkhet,Ramghat,1,0.0,0.0,,,,,,,7.943666666666666,,,,,,,,
2019,2019 T1-T10 core trial,Dang,Dhikpur,5,0.0,210.0,-0.0001321150541897969,0.02755134483214388,7.126521213322756,0.9279526872395618,104.27027033786602,8.562914300232462,7.065,8.419,8.5775,7.519,7.2715,22.566666666666666,12.604166666666668,2.522222222222221,0.9833333333333297
2019,2019 T1-T10 core trial,Dang,Laxmipur,5,0.0,210.0,-0.00012251894440038795,0.038802597145123005,8.144911974623307,0.8360870634834673,158.3534584591154,11.21717470218632,8.4195,9.2395,11.756499999999999,11.0415,10.807,13.66666666666667,27.80833333333333,14.566666666666666,11.369047619047624
2019,2019 T1-T10 core trial,Dang,Panchakule,5,0.0,210.0,-8.634868710899657e-05,0.018015757996299314,8.680593774781908,0.8553719410639072,104.31981422924422,9.62029403846839,8.639,9.51,9.692499999999999,8.84,8.8305,14.516666666666675,8.779166666666663,1.1166666666666696,0.9119047619047682
2019,2019 T1-T10 core trial,Dang,Shantinagar,5,0.0,210.0,-5.4188474755484935e-05,0.016229830822098862,7.5265614591593915,0.773696380104705,149.75353057391678,8.74179869227273,7.3795,8.697,8.4175,8.592,8.677,21.958333333333318,8.650000000000002,6.736111111111113,6.178571428571426
2019,2019 T1-T10 core trial,Dang,Shreegau,5,0.0,210.0,-0.00011152447352189658,0.03402338421887401,6.377846748612209,0.9290816203083296,152.53774864130563,8.972771963564794,6.268000000000001,8.367,8.4595,9.097000000000001,8.552,34.983333333333334,18.262499999999996,15.716666666666669,10.876190476190471
2019,2019 T1-T10 core trial,Doti,Chhatiwan,5,0.0,210.0,-5.516146797074656e-05,0.019914791171028363,8.139520551149875,0.8676816610180622,180.51360762905776,9.936965950880694,8.194165,8.910165,10.104665,9.573665,10.053615,11.933333333333321,15.92083333333334,7.6638888888888905,8.854523809523814
2019,2019 T1-T10 core trial,Doti,Dipayal,5,0.0,210.0,-1.1615903016418619e-05,0.003818959908362025,9.02893513745704,0.05806604288009942,164.38497734373627,9.342824956463405,8.738366666666666,9.994016666666667,8.761383333333333,9.16084,9.569173333333334,20.927500000000016,0.19180555555555756,2.34707407407408,3.9562222222222263
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,5,0.0,210.0,-2.3020706670191676e-05,0.010878458895056958,8.682027042030121,0.5837486088220112,,,8.432599999999999,9.8876,9.2828,9.581,10.2514,24.250000000000032,7.085000000000008,6.3800000000000034,8.660952380952388
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,5,0.0,210.0,-0.00019089608588862493,0.0607600197495375,4.721132971847736,0.9562739776810615,159.14422620741135,9.555936135541325,4.507761500000001,8.289583,8.723449500000001,9.5360765,9.1423255,63.030358333333325,35.13073333333333,27.93508333333333,22.069352380952378
2019,2019 T1-T10 core trial,Kavre,Rabiopi,5,0.0,210.0,-0.00024854156395938024,0.06770986331780345,4.007793590602692,0.914957032776767,136.21436640044124,8.619321656050229,3.7852705,7.86511625,7.813372,8.4749015,7.207751999999999,67.99742916666666,33.5675125,26.053505555555553,16.297530952380946
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,5,0.0,210.0,-0.00010985604458542624,0.032676122468940055,4.381457681205389,0.8092836618967704,148.72246034459423,6.81129434525641,4.57054,5.55606,6.6987,7.398560000000001,5.927422,16.425333333333338,17.734666666666662,15.711222222222224,6.4613428571428555
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,5,0.0,210.0,2.3477371574587968e-05,-0.011255461366640157,8.629959473037262,0.45803873910021087,,,8.418527,8.727907,6.80155,7.848372,7.15644,5.1563333333333485,-13.474808333333328,-3.1675277777777713,-6.009938095238092
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,5,0.0,210.0,-0.0002952644600845891,0.08551513848136401,1.8746565087232316,0.9808033709016347,144.81109317536072,8.066426851987572,1.773721,6.1162790000000005,8.012326,7.156046999999999,7.156046999999999,72.37596666666667,51.988375,29.901811111111105,25.630123809523806
2019,2019 T1-T10 core trial,Palpa,Chidi pani,5,0.0,210.0,-0.00027799019968609577,0.06317321144233418,5.0491466999411125,0.7493217146062418,113.62488949910616,8.638171284660556,4.5995,9.0696969695,7.6713257575,7.273,6.3708674245,74.50328282500001,25.598547979166668,14.852777777777776,8.435082973809525
2019,2019 T1-T10 core trial,Palpa,Devinagar,5,0.0,210.0,9.986807597806076e-06,0.005431335870506225,7.745936895663754,0.933615702098187,,,7.692537879,8.289874999999999,8.308282197,9.210090909000002,9.2685132575,9.955618683333315,5.131202650000007,8.430850166666676,7.504644659523813
2019,2019 T1-T10 core trial,Palpa,Khasyauli,5,0.0,210.0,1.604341777116906e-05,0.011481236403231607,4.6067676905565005,0.7011590248198252,,,5.0151515075,4.17,7.301515152,6.993579522499999,7.614,-14.085858458333329,19.053030370833337,10.991266749999998,12.375469011904762
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,5,0.0,210.0,-0.00013849281875055058,0.027951321702352643,9.117863600317202,0.9309889450715383,100.91253089699109,10.528182907767402,9.213,10.023,10.723,9.627,8.848,13.500000000000007,12.583333333333346,2.3000000000000083,-1.7380952380952306
2019,2019 T1-T10 core trial,Salyan,Sharadha sharma,5,0.0,210.0,7.516851704995993e-05,-0.0194949048374305,13.217934179222835,0.4803754600003579,,,13.129,12.406,12.293,11.335,12.918,-12.049999999999983,-6.9666666666666694,-9.96666666666666,-1.004761904761906
2019,2019 T1-T10 core trial,Surkhet,Babiyachaur,5,0.0,210.0,-0.00011911515276676384,0.03751669511961418,10.209773243655816,0.9025949017234418,157.48078329326668,13.163852510661574,9.988320000000002,12.619975,12.5866425,12.943175,13.038888,43.86091666666664,21.65268749999999,16.415861111111102,14.526514285714278
2019,2019 T1-T10 core trial,Surkhet,Kalyan,5,0.0,210.0,-5.6698717948717965e-05,0.01632275641025642,8.10271153846153,0.3835211095235882,143.9429055963822,9.277484030978671,7.865,9.370999999999999,9.2655,8.341000000000001,9.617,25.099999999999973,11.670833333333325,2.6444444444444493,8.342857142857147
2019,2019 T1-T10 core trial,Surkhet,Kunathari,5,0.0,210.0,-9.649209181425735e-05,0.024275049563838372,7.443944885011887,0.9217029206002172,125.78776720151677,8.97069702668258,7.3705,8.776,8.7385,8.773499999999999,8.279499999999999,23.425,11.400000000000002,7.794444444444437,4.328571428571423
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,5,0.0,210.0,-0.00016189477046435824,0.05004362609040451,7.092137787470256,0.8907481695031064,154.5560302746833,10.959409882012,7.2765,8.901,11.512,10.381,10.616,27.07499999999999,35.295833333333334,17.247222222222224,15.902380952380948
2019,2019 T1-T10 core trial,Surkhet,Maintada-2,5,0.0,210.0,-0.0001334159397303728,0.035211227861485624,5.47658128469468,0.6835375309936262,131.96034871337648,7.79982423830858,5.1370000000000005,8.004999999999999,7.170999999999999,7.218,7.314500000000001,47.799999999999976,16.949999999999992,11.561111111111108,10.369047619047619
2019,2019 T1-T10 core trial,Surkhet,Ramghat,5,0.0,210.0,-0.00022765534408317908,0.0560846299233413,8.311078191911175,0.9382076087397215,123.17881258005853,11.765297250885776,8.2078,11.2098,11.3086,11.3504,9.9336,50.03333333333332,25.839999999999996,17.45888888888889,8.218095238095236
