year,study,dataset_type,district,site,variety_group,treatment_code,treatment_role,N_rate_kg_ha,mean_yield_t_ha,latitude,longitude,n
2018,2018 maize demo,Demo,Palpa,Madanpokhara,OPV,A2,demo_a2,120.0,6.974126615191087,,,3
2018,2018 maize demo,Demo,Surkhet,Babiyachaur,Farmers seed,B2,demo_b2,120.0,6.990341085271318,28.80491172666667,81.39943102,3
2018,2018 maize demo,Demo,Surkhet,Babiyachaur,Hybrid,A1,demo_a1,120.0,9.349108527131783,28.804851013333334,81.39940449666666,3
2018,2018 maize demo,Demo,Surkhet,Babiyachaur,Hybrid,B1,demo_b1,120.0,8.639279069767442,28.80490988,81.39942648333333,3
2018,2018 maize demo,Demo,Surkhet,Babiyachaur,OPV,A2,demo_a2,120.0,8.386178294573645,28.804890653333334,81.39942910666666,3
2018,2018 maize demo,Demo,Surkhet,Gadhi,Farmers seed,B2,demo_b2,120.0,6.285046511627907,28.639596343333334,81.59299505,3
2018,2018 maize demo,Demo,Surkhet,Gadhi,Hybrid,A1,demo_a1,120.0,8.949906976744186,28.639638973333334,81.59310861333334,3
2018,2018 maize demo,Demo,Surkhet,Gadhi,Hybrid,B1,demo_b1,120.0,7.6262286821705425,28.639611886666668,81.59302583666667,3
2018,2018 maize demo,Demo,Surkhet,Gadhi,OPV,A2,demo_a2,120.0,6.8224457364341085,28.639636593333332,81.59306205,3
2018,2018 maize demo,Demo,Surkhet,Guthu,Farmers seed,B2,demo_b2,120.0,5.592209302325581,28.834535105,81.306714615,2
2018,2018 maize demo,Demo,Surkhet,Guthu,Hybrid,A1,demo_a1,120.0,9.1705,28.834612630000002,81.306777735,2
2018,2018 maize demo,Demo,Surkhet,Guthu,Hybrid,B1,demo_b1,120.0,6.634238372093023,28.83457609,81.30675486,2
2018,2018 maize demo,Demo,Surkhet,Guthu,OPV,A2,demo_a2,120.0,6.8917965116279065,28.834598955,81.30677299999999,2
2018,2018 maize demo,Demo,Surkhet,Kalyan,Farmers seed,B2,demo_b2,120.0,7.593085271317829,28.504901486666668,81.73678716,3
2018,2018 maize demo,Demo,Surkhet,Kalyan,Hybrid,A1,demo_a1,120.0,8.509910852713178,28.50490437666667,81.73673919666668,3
2018,2018 maize demo,Demo,Surkhet,Kalyan,Hybrid,B1,demo_b1,120.0,8.169635658914729,28.504897116666665,81.73676604333333,3
2018,2018 maize demo,Demo,Surkhet,Kalyan,OPV,A2,demo_a2,120.0,7.683182170542636,28.50489616,81.73674829333333,3
2018,2018 maize demo,Demo,Surkhet,Kunathari,Farmers seed,B2,demo_b2,120.0,7.512325581395349,28.712947076666666,81.51047040666667,3
2018,2018 maize demo,Demo,Surkhet,Kunathari,Hybrid,A1,demo_a1,120.0,7.478007751937985,28.712935693333336,81.51044945666666,3
2018,2018 maize demo,Demo,Surkhet,Kunathari,Hybrid,B1,demo_b1,120.0,8.278941860465116,28.712915213333332,81.51049006,3
2018,2018 maize demo,Demo,Surkhet,Kunathari,OPV,A2,demo_a2,120.0,8.061259689922482,28.712891166666665,81.51044254,3
2018,2018 maize demo,Demo,Surkhet,Lekhparsa,Farmers seed,B2,demo_b2,120.0,6.640116279069767,28.45892447,81.78542715,1
2018,2018 maize demo,Demo,Surkhet,Lekhparsa,Hybrid,A1,demo_a1,120.0,9.054686046511629,28.45888873,81.78539592,1
2018,2018 maize demo,Demo,Surkhet,Lekhparsa,Hybrid,B1,demo_b1,120.0,7.861709302325581,28.45888395,81.78541313,1
2018,2018 maize demo,Demo,Surkhet,Lekhparsa,OPV,A2,demo_a2,120.0,7.013953488372094,28.45888729,81.78539747,1
2018,2018 maize demo,Demo,Surkhet,Lekhpharsa,Farmers seed,B2,demo_b2,120.0,6.08771511627907,28.4679157,81.79993707,2
2018,2018 maize demo,Demo,Surkhet,Lekhpharsa,Hybrid,A1,demo_a1,120.0,8.960622093023256,28.467962174999997,81.799889855,2
2018,2018 maize demo,Demo,Surkhet,Lekhpharsa,Hybrid,B1,demo_b1,120.0,8.610488372093023,28.467909804999998,81.79996155,2
2018,2018 maize demo,Demo,Surkhet,Lekhpharsa,OPV,A2,demo_a2,120.0,6.867906976744186,28.467900005,81.799967315,2
2018,2018 maize demo,Demo,Surkhet,Maintada-1,Farmers seed,B2,demo_b2,120.0,6.046186046511628,28.444183413333334,81.80365988333334,3
2018,2018 maize demo,Demo,Surkhet,Maintada-1,Hybrid,A1,demo_a1,120.0,8.41646124031008,28.444098,81.80363027,3
2018,2018 maize demo,Demo,Surkhet,Maintada-1,Hybrid,B1,demo_b1,120.0,6.843558139534884,28.444157726666663,81.80363392,3
2018,2018 maize demo,Demo,Surkhet,Maintada-1,OPV,A2,demo_a2,120.0,6.866279069767442,28.44410951333333,81.8036145,2
2018,2018 maize demo,Demo,Surkhet,Maintada-2,Farmers seed,B2,demo_b2,120.0,5.637534883720931,28.426699616666667,81.79944927333334,3
2018,2018 maize demo,Demo,Surkhet,Maintada-2,Hybrid,A1,demo_a1,120.0,8.874934108527132,28.426764449999997,81.79936959000001,3
2018,2018 maize demo,Demo,Surkhet,Maintada-2,Hybrid,B1,demo_b1,120.0,6.92593023255814,28.42673677,81.79942792666667,3
2018,2018 maize demo,Demo,Surkhet,Maintada-2,OPV,A2,demo_a2,120.0,7.2078953488372095,28.426751016666667,81.79939860333333,3
2018,2018 maize demo,Demo,Surkhet,Ramghat,Farmers seed,B2,demo_b2,120.0,7.467418604651162,28.48842943,81.74260014666667,3
2018,2018 maize demo,Demo,Surkhet,Ramghat,Hybrid,A1,demo_a1,120.0,8.691833333333333,28.488405913333334,81.74262207,3
2018,2018 maize demo,Demo,Surkhet,Ramghat,Hybrid,B1,demo_b1,120.0,8.57608527131783,28.488411336666662,81.74261457666667,3
2018,2018 maize demo,Demo,Surkhet,Ramghat,OPV,A2,demo_a2,120.0,8.118709302325582,28.488385633333337,81.74262173,3
