year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,source_treatment_label,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,grain_moisture_pct,recorded_yield_kg_ha,dry_yield_kg_ha,yield_14pct_kg_ha,yield_t_ha,strategy
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.06552461348474,82.4451123084873,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,21.1,8000.0,6312.0,7339.53488372093,7.339534883720931,zn
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.134966418147087,82.12254473939538,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,16.9,10733.0,8919.123,10371.073255813952,10.371073255813952,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.06553919799626,82.4450584128499,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,22.9,6167.0,4754.757,5528.787209302325,5.528787209302325,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.13494827132672,82.12258304469287,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,16.1,8410.0,7055.99,8204.639534883721,8.204639534883722,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Dang,Purandhara,28.0655768327415,82.4450409784913,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,21.9,5917.0,4621.177,5373.461627906977,5.373461627906977,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.15802989527583,82.22683170810342,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,29.1,9633.0,6829.7970000000005,7941.6244186046515,7.941624418604651,gr
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.174101314507425,82.22785983234644,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,31.3,11000.0,7557.0,8787.209302325582,8.787209302325582,gr
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.15802641678601,82.22684889100492,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,31.0,10000.0,6900.0,8023.255813953488,8.023255813953488,fym
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.17401657346636,82.22791842184961,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,30.5,9333.0,6486.435,7542.366279069768,7.5423662790697685,fym
2019,2019 Hybrid strategy block,Demo,Dang,Shantinagar,28.15800340846181,82.22690479829907,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,29.5,10100.0,7120.5,8279.651162790698,8.279651162790698,zn
