year,district,site,latitude,longitude,0,60,120,180,210,AE_N_60_kg_kg,AE_N_120_kg_kg,AE_N_180_kg_kg,AE_N_210_kg_kg,marginal_yield_response_0_60_t_ha,marginal_response_0_60_kg_kg_N,marginal_yield_response_60_120_t_ha,marginal_response_60_120_kg_kg_N,marginal_yield_response_120_180_t_ha,marginal_response_120_180_kg_kg_N,marginal_yield_response_180_210_t_ha,marginal_response_180_210_kg_kg_N
2017,Surkhet,Maintada-3,28.444804476666665,81.80525383999999,,,,8.094433333333333,,,,,,,,,,,,,
2017,Surkhet,Maintada-3,28.444815833333333,81.80527922,,,,,7.997766666666667,,,,,,,,,,,,
2017,Surkhet,Maintada-4,28.419402339999998,81.793870405,,7.933349999999999,,,,,,,,,,,,,,,
2017,Surkhet,Maintada-4,28.419785076666667,81.79538594,,,8.033333333333333,,,,,,,,,,,,,,
2017,Surkhet,Maintada-4,28.419831523333333,81.79542394333333,,,,,10.044433333333332,,,,,,,,,,,,
2017,Surkhet,Maintada-4,28.419836903333334,81.79543713,,,,9.155566666666667,,,,,,,,,,,,,
2017,Surkhet,Maintada-4,28.41986725,81.79541291666668,6.811133333333334,,,,,,,,,,,,,,,,
2017,Surkhet,Neta,28.541936749999998,81.78983385000001,,11.05335,,,,,,,,,,,,,,,
2017,Surkhet,Neta,28.5451194,81.79166906666667,,,,,10.812199999999999,,,,,,,,,,,,
2017,Surkhet,Neta,28.5451225,81.7916535,,,,13.158900000000001,,,,,,,,,,,,,
2017,Surkhet,Neta,28.545128333333334,81.79169833333334,,,12.798900000000001,,,,,,,,,,,,,,
2017,Surkhet,Neta,28.55006565,81.79385479999999,9.89,,,,,,,,,,,,,,,,
2017,Surkhet,Ramghat,28.4896297,81.7428744,,,12.3421,,,,,,,,,,,,,,
2017,Surkhet,Ramghat,28.489957349999997,81.74255160000001,,,,9.865,,,,,,,,,,,,,
2017,Surkhet,Ramghat,28.4899719,81.7425556,,9.965,,,,,,,,,,,,,,,
2017,Surkhet,Ramghat,28.4899823,81.7425836,,,,,9.745000000000001,,,,,,,,,,,,
2017,Surkhet,Ramghat,28.490014549999998,81.74256355,7.975,,,,,,,,,,,,,,,,
