year,study,dataset_type,district,site,government_recommendation,n_omission,latitude,longitude,response_t_ha,nutrient,yield_response_t_ha,AE_N_kg_kg,p_omission,AE_P_kg_kg,k_omission,AE_K_kg_kg
2017,2017 core trial,Trial,Dang,Dhuruwa,6.657333333333334,,28.027362498333336,82.325795,0.6113333333333344,P,0.6113333333333344,,6.045999999999999,10.188888888888906,,
2017,2017 core trial,Trial,Dang,Hapur,7.8815,,28.092484165,82.42742417,4.322,P,4.322,,3.5595,72.03333333333333,,
2017,2017 core trial,Trial,Dang,Laxmipur,7.269333333333333,,27.979776943333334,82.49198389,-0.004666666666667041,P,-0.004666666666667041,,7.274,-0.07777777777778401,,
2017,2017 core trial,Trial,Dang,Panchakule,8.504,,28.133755835000002,82.11329624999999,0.7634999999999996,P,0.7634999999999996,,7.7405,12.724999999999994,,
2017,2017 core trial,Trial,Dang,Pawannagar,6.501333333333332,,28.16377,82.25667833333334,0.36433333333333184,P,0.36433333333333184,,6.1370000000000005,6.072222222222197,,
2017,2017 core trial,Trial,Dang,Purandhara,7.3870000000000005,,28.191711666666667,82.09889611333332,-0.42599999999999927,P,-0.42599999999999927,,7.813,-7.099999999999988,,
2017,2017 core trial,Trial,Dang,Shantinagar,9.0765,,28.164481389166667,82.228827225,-0.22116666666666696,P,-0.22116666666666696,,9.297666666666666,-3.6861111111111162,,
2017,2017 core trial,Trial,Dang,Shreegau,6.155333333333334,,28.106374445,82.17908944333334,0.3019999999999996,P,0.3019999999999996,,5.853333333333334,5.033333333333327,,
2017,2017 core trial,Trial,Surkhet,Babiyachaur,11.13665,,28.816826291666665,81.40492971666666,1.146683333333332,P,1.146683333333332,,9.989966666666668,19.111388888888868,,
2017,2017 core trial,Trial,Surkhet,Gadhi,11.00835,,28.64615399,81.60290589249999,0.1833500000000008,P,0.1833500000000008,,10.825,3.0558333333333465,,
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.114433333333332,,28.43949825,81.89756126666667,-0.42113333333333536,P,-0.42113333333333536,,10.535566666666668,-7.018888888888923,,
2017,2017 core trial,Trial,Surkhet,Guthu,11.455566666666668,,28.843891866666667,81.30402248333333,-0.1555666666666653,P,-0.1555666666666653,,11.611133333333333,-2.592777777777755,,
2017,2017 core trial,Trial,Surkhet,Kalyan,9.803333333333333,,28.502896466666666,81.73769051666667,0.13333333333333286,P,0.13333333333333286,,9.67,2.2222222222222143,,
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,9.904433333333332,,28.47387833333333,81.80857215,0.8555333333333319,P,0.8555333333333319,,9.0489,14.258888888888865,,
2017,2017 core trial,Trial,Surkhet,Maintada-3,7.838866666666665,,28.444802648333336,81.80532742333332,0.09219999999999828,P,0.09219999999999828,,7.746666666666667,1.536666666666638,,
2017,2017 core trial,Trial,Surkhet,Maintada-4,8.033333333333333,,28.419788833333335,81.79540829166667,-0.45553333333333335,P,-0.45553333333333335,,8.488866666666667,-7.592222222222222,,
2017,2017 core trial,Trial,Surkhet,Neta,12.798900000000001,,28.54511735,81.7916726,0.17776666666666863,P,0.17776666666666863,,12.621133333333333,2.9627777777778106,,
2017,2017 core trial,Trial,Surkhet,Ramghat,12.3421,,28.489600166666666,81.74290513333332,0.9687333333333328,P,0.9687333333333328,,11.373366666666668,16.145555555555546,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.309213178294572,,28.033871716666667,82.37338737166667,0.0920310077519364,P,0.0920310077519364,,8.217182170542635,1.53385012919894,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.752627906976744,,28.02146473,82.3247340975,0.2852616279069755,P,0.2852616279069755,,6.467366279069768,4.7543604651162585,,
