year,study,dataset_type,district,site,treatment_yield_t_ha,N_rate_kg_ha,latitude,longitude,y_0PK_t_ha,treatment_role,yield_response_vs_0PK_t_ha,AE_N_vs_0PK_kg_kg,relative_yield_vs_0PK_pct,group
2017,2017 core trial,Trial,Surkhet,Kalyan,10.281133333333335,180.0,28.503016866666666,81.73763253333334,7.6499,n_rate_180,2.631233333333335,14.617962962962972,134.39565658810358,N180
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,11.156666666666666,180.0,28.473869966666665,81.80856483333334,7.815533333333334,n_rate_180,3.3411333333333326,18.56185185185185,142.7499083022698,N180
2017,2017 core trial,Trial,Surkhet,Maintada-3,8.094433333333333,180.0,28.444804476666665,81.80525383999999,6.782233333333334,n_rate_180,1.312199999999999,7.289999999999994,119.3476091946114,N180
2017,2017 core trial,Trial,Surkhet,Maintada-4,9.155566666666667,180.0,28.419836903333334,81.79543713,6.811133333333334,n_rate_180,2.344433333333333,13.024629629629628,134.42060547926434,N180
2017,2017 core trial,Trial,Surkhet,Neta,13.158900000000001,180.0,28.5451225,81.7916535,9.89,n_rate_180,3.2689000000000004,18.160555555555558,133.0525783619818,N180
2017,2017 core trial,Trial,Surkhet,Ramghat,9.865,180.0,28.489957349999997,81.74255160000001,7.975,n_rate_180,1.8900000000000006,10.500000000000002,123.69905956112854,N180
2017,2017 core trial,Trial,Dang,Dhikpur,7.083666666666666,210.0,28.04843055666667,82.39323777999999,4.394333333333333,n_rate_210,2.689333333333333,12.806349206349205,161.20003034210725,N210
2017,2017 core trial,Trial,Dang,Dhuruwa,7.045333333333333,210.0,28.027358886666665,82.32571611,5.299,n_rate_210,1.7463333333333324,8.315873015873011,132.95590362961565,N210
2017,2017 core trial,Trial,Dang,Hapur,5.643,210.0,28.092775,82.42739,4.099,n_rate_210,1.5439999999999996,7.35238095238095,137.66772383508172,N210
2017,2017 core trial,Trial,Dang,Laxmipur,8.038333333333334,210.0,27.97983444333333,82.49195444666667,5.8389999999999995,n_rate_210,2.1993333333333345,10.473015873015878,137.666267054861,N210
2017,2017 core trial,Trial,Dang,Panchakule,5.7065,210.0,28.1338175,82.11338,8.108,n_rate_210,-2.4015000000000004,-11.435714285714289,70.38110508140107,N210
2017,2017 core trial,Trial,Dang,Pawannagar,7.171333333333333,210.0,28.16377,82.25668555666667,5.611999999999999,n_rate_210,1.559333333333334,7.425396825396828,127.7856973152768,N210
2017,2017 core trial,Trial,Dang,Purandhara,7.465,210.0,28.191787223333336,82.09878555666667,6.9205000000000005,n_rate_210,0.5444999999999993,2.5928571428571394,107.86792861787443,N210
2017,2017 core trial,Trial,Dang,Shantinagar,8.5365,210.0,28.163533335,82.227485,5.816000000000001,n_rate_210,2.7204999999999995,12.954761904761902,146.77613480055018,N210
2017,2017 core trial,Trial,Dang,Shreegau,6.435666666666667,210.0,28.10640277666667,82.17913,5.164666666666666,n_rate_210,1.2710000000000008,6.052380952380957,124.60952626823288,N210
2017,2017 core trial,Trial,Surkhet,Babiyachaur,10.7922,210.0,28.818723133333332,81.4062558,8.68665,n_rate_210,2.105549999999999,10.026428571428568,124.23891834021171,N210
2017,2017 core trial,Trial,Surkhet,Gadhi,11.83335,210.0,28.646214775,81.60292742,7.11665,n_rate_210,4.7166999999999994,22.46047619047619,166.2769702036773,N210
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.162199999999999,210.0,28.4394028,81.8976139,5.92,n_rate_210,4.242199999999999,20.200952380952376,171.65878378378375,N210
2017,2017 core trial,Trial,Surkhet,Guthu,10.444466666666667,210.0,28.843903566666665,81.30406653333334,6.8667,n_rate_210,3.577766666666667,17.03698412698413,152.10314513036346,N210
2017,2017 core trial,Trial,Surkhet,Kalyan,9.863333333333335,210.0,28.5029996,81.73762133333334,7.6499,n_rate_210,2.2134333333333354,10.540158730158739,128.9341472873284,N210
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,10.474433333333332,210.0,28.473863233333333,81.8085357,7.815533333333334,n_rate_210,2.6588999999999983,12.661428571428564,134.02071089198432,N210
2017,2017 core trial,Trial,Surkhet,Maintada-3,7.997766666666667,210.0,28.444815833333333,81.80527922,6.782233333333334,n_rate_210,1.2155333333333331,5.788253968253967,117.92231664102779,N210
2017,2017 core trial,Trial,Surkhet,Maintada-4,10.044433333333332,210.0,28.419831523333333,81.79542394333333,6.811133333333334,n_rate_210,3.233299999999998,15.396666666666656,147.47080759932265,N210
2017,2017 core trial,Trial,Surkhet,Neta,10.812199999999999,210.0,28.5451194,81.79166906666667,9.89,n_rate_210,0.9221999999999984,4.3914285714285635,109.324570273003,N210
2017,2017 core trial,Trial,Surkhet,Ramghat,9.745000000000001,210.0,28.4899823,81.7425836,7.975,n_rate_210,1.7700000000000014,8.428571428571436,122.19435736677119,N210
