year,study,dataset_type,district,site,p_omission,soil_background,latitude,longitude,response_t_ha
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,8.876416527131783,7.720761108527133,29.254699707962573,80.93250160105526,1.15565541860465
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,8.467302325581397,7.222269767441861,29.124346466269344,80.58116250950843,1.2450325581395356
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,6.529804790697675,2.9267566104651164,27.556970261503015,85.6675685942173,3.6030481802325585
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,6.631491450581395,3.342635645348837,27.650294140912592,85.57621594984084,3.288855805232558
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,6.05597184883721,2.742325581395349,,,3.313646267441861
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,9.900772000000002,6.008917976744186,27.88490277249366,85.15011859126389,3.8918540232558154
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,6.911392290697676,1.620817011627907,27.884374440182,85.15042654238641,5.290575279069769
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,9.748697674418604,8.257209302325581,27.866815757006407,83.54840851854533,1.4914883720930234
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,8.87922672866279,5.791707364343022,27.809348203008994,83.69689112529159,3.0875193643197676
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,7.098108543930232,6.005674418604651,27.88467059377581,83.47857314161956,1.092434125325581
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,9.488668604651162,7.134883720930233,28.217941119801253,82.38479600753635,2.3537848837209285
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,12.645348837209303,11.860168604651165,28.229054810944945,82.35288681462407,0.7851802325581385
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,13.41702363372093,9.719476744186046,28.805179686751217,81.39991264091805,3.697546889534884
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,9.278252325581395,7.139387790697674,28.501468183239922,81.74196082167327,2.138864534883721
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,10.048916860465116,6.868965697674419,28.71424560318701,81.50840541813523,3.1799511627906973
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,10.171668023255812,6.102918604651163,28.465106072835624,81.79053612984717,4.068749418604649
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,7.4868837209302335,4.673941860465117,28.44779852195643,81.79641278693452,2.8129418604651164
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,9.310833953488373,5.644310232558139,28.489950658287853,81.74421401135623,3.6665237209302344
