year,study,dataset_type,district,site,latitude,longitude,AE_N_kg_kg,AE_P_kg_kg,AE_K_kg_kg
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,28.165586123333334,82.22550604,,3.0812015503876022,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,28.165591893333332,82.22554941666668,,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.082113109999998,80.59339418666667,,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.08211494833333,80.59342040166666,,-8.72189922480621,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.082115391666665,80.59342047166666,8.892926356589145,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14420459666667,80.60346934333333,,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14422417,80.603425405,,14.4248062015504,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14423007,80.60344708333334,2.872609819121452,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,27.660612623333336,85.58988246333332,,7.771770025839804,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,27.660617778333332,85.58984622666667,13.471253229974163,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,27.660642553333332,85.58985851666667,,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,27.55798009,85.66630554666666,,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,27.55800262333333,85.66629716833333,,-4.018087855297173,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,27.55801092833333,85.66625212,1.442183462532302,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,27.647586223333334,85.56451260333334,,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,27.64758880833333,85.564533475,2.745478036175723,,
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,27.647592708333335,85.56453263666668,,3.682170542635651,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,28.804848823333334,81.39958067333333,,,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,28.804862511666666,81.399528935,3.9264211886305134,,
