study_key,study_id,source_file,field,column_used,n_rows,n_non_missing,n_missing,pct_missing
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,soil_ph,,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,soil_organic,,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,soil_n,,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,soil_p,,16,0,16,100.0
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,soil_k,,16,0,16,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,grain_yield,grain_yield_Mg_ha,8,8,0,0.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,n_rate,N_rate_kg_ha,8,0,8,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,p_rate,P2O5_rate_kg_ha,8,0,8,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,k_rate,K2O_rate_kg_ha,8,0,8,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,treatment_group,treatment_group,8,8,0,0.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,season,season,8,8,0,0.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,district,district,8,8,0,0.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,site,site,8,8,0,0.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,agroecology,agroecology,8,0,8,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,latitude,latitude,8,8,0,0.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,longitude,longitude,8,8,0,0.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,soil_ph,,8,0,8,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,soil_organic,,8,0,8,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,soil_n,,8,0,8,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,soil_p,,8,0,8,100.0
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,soil_k,,8,0,8,100.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,grain_yield,grain_yield_Mg_ha,24,24,0,0.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,n_rate,N_rate_kg_ha,24,0,24,100.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,p_rate,P2O5_rate_kg_ha,24,0,24,100.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,k_rate,K2O_rate_kg_ha,24,0,24,100.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,treatment_group,treatment_group,24,24,0,0.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,season,season,24,9,15,62.5
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,district,district,24,24,0,0.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,site,site,24,24,0,0.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,agroecology,agroecology,24,24,0,0.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,latitude,latitude,24,24,0,0.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,longitude,longitude,24,24,0,0.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,soil_ph,,24,0,24,100.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,soil_organic,,24,0,24,100.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,soil_n,,24,0,24,100.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,soil_p,,24,0,24,100.0
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,soil_k,,24,0,24,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,grain_yield,grain_yield_Mg_ha,28,28,0,0.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,n_rate,N_rate_kg_ha,28,0,28,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,p_rate,P2O5_rate_kg_ha,28,0,28,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,k_rate,K2O_rate_kg_ha,28,0,28,100.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,treatment_group,treatment_group,28,28,0,0.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,season,season,28,28,0,0.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,district,district,28,28,0,0.0
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,site,site,28,28,0,0.0
