study_key,study_id,source_file,n_rows,year_min,year_max,season_values,district_values,agroecology_values,site_values,treatment_group_values,has_yield,has_coordinates,has_n_rate,has_treatment_group,has_season,has_district,missing_core_fields,check_status
3.amgain_2023_ne_m_n | 7.+Lal+P.+Amgain+(1).pdf,3.amgain_2023_ne_m_n,7.+Lal+P.+Amgain+(1).pdf,54,2021.0,2021.0,spring,Kailali,,Janaki Rural Municipality; Lamkichuha Municipality; Tikapur Municipality,nutrient_omission; nutrient_omission_reference; recommendation,True,True,False,True,True,True,n_rate,review_core_fields
48.yadav_2024_fert-manure_m_n,48.yadav_2024_fert-manure_m_n,,8,2021.0,2021.0,maize,Chitwan,,"Khairahani, Chitwan",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
31.dotel_2025_nrate-nslowrelease_m_n,31.dotel_2025_nrate-nslowrelease_m_n,,8,2023.0,2023.0,spring,Morang,,"Gothgaun, Sundarharaicha",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
36.shrestha_azotobacter-fert-var_m_n | 07_7469_H2.pdf,36.shrestha_azotobacter-fert-var_m_n,07_7469_H2.pdf,15,2023.0,2023.0,spring,Nawalpur,,"Gaindakot, Nawalpur",Azoto; Azoto + FYM; Azoto + NPK; Control; FYM,False,True,True,True,True,True,grain_yield,review_core_fields
37.sigdel_psb-npk_m_n,37.sigdel_psb-npk_m_n,,7,2024.0,2024.0,summer maize,Kaski,,"Puranchaur, Pokhara Metropolitan City",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
50.neupane_2024_biofert_m_n,50.neupane_2024_biofert_m_n,,7,2024.0,2024.0,spring maize,Morang,,Morang,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
51.nayak_2024_ssnm_m_n,51.nayak_2024_ssnm_m_n,,6,2024.0,2024.0,spring 2023,Kailali,,"Tikapur Municipality; wards 1 Bangaun, 3 Katanpur, 4 Asneri, 6 Narayanpur",,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
53.timilsina_2025_lcc-tillage_m_n,53.timilsina_2025_lcc-tillage_m_n,,8,2025.0,2025.0,winter 2016/2017,Chitwan,,"National Maize Research Program (NMRP), Rampur",,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
54.pandey_2025_tillage-fert-fym_m_n,54.pandey_2025_tillage-fert-fym_m_n,,6,2025.0,2025.0,March-July 2022,Lamjung,,"Lamjung Campus, Sundarbazar municipality",,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
55.ghimire_2025_nrate_m_n,55.ghimire_2025_nrate_m_n,,7,2025.0,2025.0,25 February 2024 to 27 June 2024,Jhapa,,Bhadrapur-7 farmer field,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
0_carob_base_m_n | carob_agronomy-cc.csv,0_carob_base_m_n,carob_agronomy-cc.csv,3,,,,,,,,False,True,True,False,False,False,grain_yield; treatment_group; season; district,review_core_fields
11.sherchan_1999_fert-manure_mwr_n,11.sherchan_1999_fert-manure_mwr_n,,8,,,,Dhankuta,,Pakhribas Agricultural Centre South Farm,fertilizer_alone; manure_high; manure_high_plus_topdress_N; manure_lime_plus_topdress_N; manure_low; manure_low_plus_topdress_N; manure_plus_NK; manure_plus_NP,True,True,False,True,False,True,n_rate; season,review_core_fields
17.adhikary_2007_fert-lime_m_n,17.adhikary_2007_fert-lime_m_n,,16,,,summer,Palpa; Tanahun,,Tansen outreach site; Vyash outreach site,,True,True,False,False,True,True,n_rate; treatment_group,review_core_fields
21.shrestha_2013_water-soilfert_mw_n,21.shrestha_2013_water-soilfert_mw_n,,1,,,,,,,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
23.shrestha_2018_n-density_m_n,23.shrestha_2018_n-density_m_n,,15,,,winter,Chitwan,,"Mangalpur VDC-3, Anandapur, Chitwan",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
24.pandit_2016_biochar_m_n,24.pandit_2016_biochar_m_n,,1,,,,,,,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
27.sapkota_2017_nprate_m_n,27.sapkota_2017_nprate_m_n,,8,,,winter,Chitwan,,"National Maize Research Program, Rampur",,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
30.karki_2014_notill_m_n,30.karki_2014_notill_m_n,,1,,,,,,,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
34.dahal_2014_ca-weeds_m_n,34.dahal_2014_ca-weeds_m_n,,1,,,,,,,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
35.rawal_2021_npkrates_n_n,35.rawal_2021_npkrates_n_n,,9,,,monsoon,Lalitpur,,"Khumaltar, Lalitpur",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
38.khanal_2017_ne_m_n,38.khanal_2017_ne_m_n,,2,,,winter/spring maize,Jhapa,,"Damak/Gauradaha, Jhapa",,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
41.ghimire_2015_ssnm_m_n,41.ghimire_2015_ssnm_m_n,,5,,,April-September 2011,Palpa,,"Khasyoli VDC, Palpa district",,True,True,False,False,True,True,n_rate; treatment_group,review_core_fields
42.nepali_2020_biofer_m_n,42.nepali_2020_biofer_m_n,,7,,,winter 2018/19,Chitwan,,"AFU research farm, Rampur, Chitwan",,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
44.pandit_2025_4r_m_n,44.pandit_2025_4r_m_n,,16,,,,,,,,False,True,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
45.pal_2017_fert-manure_m_n,45.pal_2017_fert-manure_m_n,,1,,,,,,,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
52.dhital_2023_fert-density_m_n,52.dhital_2023_fert-density_m_n,,1,,,,,,,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
9.pokharel_2016_npkrate_m_n,9.pokharel_2016_npkrate_m_n,,6,,,summer/rainy,Surkhet,,Dasharathpur; Ramghat; Mehelkuna; Gumi,farmer_practice; nutrient_rate; nutrient_rate_lime; recommendation,True,True,False,True,True,True,n_rate,review_core_fields
