year,study,district,site,N0-P0-K0,N120-P60-K0,has_zero,has_omission,has_both
2018,"2018 N source, timing and FYM trial",Kavre,Anekot,4.339666666666667,,True,False,False
2018,"2018 N source, timing and FYM trial",Kavre,Bhakundebesi,6.609999999999999,,True,False,False
2018,"2018 N source, timing and FYM trial",Kavre,Rabiopi,6.636,,True,False,False
2018,"2018 N source, timing and FYM trial",Palpa,Chidipani,4.1345,,True,False,False
2018,"2018 N source, timing and FYM trial",Palpa,Devinagar,4.800333333333334,,True,False,False
2018,"2018 N source, timing and FYM trial",Palpa,Khasyauli,4.608666666666667,,True,False,False
2018,"2018 N source, timing and FYM trial",Palpa,Madanpokhara,4.177333333333333,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Babiyachaur,7.1049999999999995,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Gadhi,5.639666666666667,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Guthu,5.606,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Kalyan,6.9993333333333325,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Kunathari,6.386,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Lekhpharsa,6.067333333333333,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-1,7.2225,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-2,5.8614999999999995,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-8,6.202,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-9,7.539,,True,False,False
2018,"2018 N source, timing and FYM trial",Surkhet,Ramghat,6.749333333333333,,True,False,False
2019,2019 T1-T10 core trial,Dang,Dhikpur,5.545,7.3505,True,True,True
2019,2019 T1-T10 core trial,Dang,Laxmipur,5.8759999999999994,12.051,True,True,True
2019,2019 T1-T10 core trial,Dang,Panchakule,6.28,9.5955,True,True,True
2019,2019 T1-T10 core trial,Dang,Shantinagar,5.739,8.295,True,True,True
2019,2019 T1-T10 core trial,Dang,Shreegau,4.588,9.7335,True,True,True
2019,2019 T1-T10 core trial,Doti,Chhatiwan,6.86934,8.84082,True,True,True
2019,2019 T1-T10 core trial,Doti,Dipayal,7.31943,9.536673333333333,True,True,True
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,7.226999999999999,11.33,True,True,True
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,2.926757,6.233759,True,True,True
2019,2019 T1-T10 core trial,Kavre,Rabiopi,3.3426345,6.5742245,True,True,True
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,2.7423200000000003,6.31306,True,True,True
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,6.008915,7.509767,True,True,True
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,1.620814,8.165233,True,True,True
2019,2019 T1-T10 core trial,Palpa,Chidi pani,8.049409091000001,9.2233371215,True,True,True
2019,2019 T1-T10 core trial,Palpa,Devinagar,5.6600776515,7.923666666499999,True,True,True
2019,2019 T1-T10 core trial,Palpa,Khasyauli,5.869181818,3.5767613320000002,True,True,True
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,6.973,9.579,True,True,True
2019,2019 T1-T10 core trial,Salyan,Sharadha sharma,,11.624,False,True,False
2019,2019 T1-T10 core trial,Surkhet,Babiyachaur,,13.152135,False,True,False
2019,2019 T1-T10 core trial,Surkhet,Kalyan,6.977,8.6745,True,True,True
2019,2019 T1-T10 core trial,Surkhet,Kunathari,6.712999999999999,7.792,True,True,True
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,5.964499999999999,8.6735,True,True,True
2019,2019 T1-T10 core trial,Surkhet,Maintada-2,4.5675,6.32,True,True,True
2019,2019 T1-T10 core trial,Surkhet,Ramghat,5.5158000000000005,10.9032,True,True,True
